Flybase ID	Gene symbol	oocyte 2day_A	oocyte 2day_B	oocyte 2day_C	oocyte 8day_A	oocyte 8day_B	oocyte 8day_C	oocyte 12day_A	oocyte 12day_B	oocyte 12day_C	embryo 0-2hr_A	embryo 0-2hr_B	embryo 0-2hr_C	ttest 12 vs. 2 RPFs	fold change 12/2 RPFs
FBgn0025800	Smox	11.3	5.9	8.8	21.9	14.0	10.9	21.2	17.7	27.0	39.3	34.5	32.6	1.33E-02	2.52
FBgn0032644	CG5131	18.1	14.9	17.3	6.5	20.5	10.1	9.1	5.4	0.0	56.6	59.0	72.8	1.34E-02	0.29
FBgn0027836	Dgp-1	58.6	38.7	50.2	11.8	53.9	35.3	26.2	23.7	18.2	112.5	101.7	115.8	1.34E-02	0.46
FBgn0035147	Gale	5.0	8.2	11.8	5.6	5.0	1.0	0.0	0.0	0.0	29.3	39.3	21.6	1.34E-02	0.00
FBgn0010803	TrpRS	86.4	66.9	49.8	29.7	45.3	33.7	26.9	20.0	16.4	84.0	86.6	65.3	1.34E-02	0.31
FBgn0038272	CG7265	47.2	28.3	45.5	10.6	18.9	17.4	16.0	10.7	15.0	89.5	76.5	81.9	1.35E-02	0.34
FBgn0030733	UQCR-14	358.6	512.1	389.8	187.8	170.7	219.3	43.8	210.8	0.0	1158.9	1403.8	1501.0	1.35E-02	0.20
FBgn0036518	RhoGAP71E	37.8	45.4	51.6	20.0	25.0	18.9	22.6	18.1	29.1	175.7	178.3	217.4	1.35E-02	0.52
FBgn0035470	Ccz1	14.3	8.1	11.6	7.9	4.6	1.0	2.0	4.3	0.0	20.4	25.0	24.8	1.35E-02	0.19
FBgn0259990	CG42487	40.2	23.3	33.4	28.3	13.1	15.5	11.2	13.0	9.8	113.9	129.4	115.5	1.35E-02	0.35
FBgn0015926	dah	75.7	111.4	79.9	55.6	59.7	66.1	43.9	38.7	40.8	1582.4	1437.5	1427.1	1.35E-02	0.46
FBgn0261016	clos	30.7	19.5	23.2	11.9	10.5	10.7	8.8	11.8	6.1	26.3	19.8	18.3	1.35E-02	0.36
FBgn0032750	CG10495	18.8	25.9	30.1	13.7	12.8	9.6	6.6	10.3	11.9	11.9	18.6	14.0	1.35E-02	0.38
FBgn0005683	pie	9.2	10.6	14.6	4.4	7.2	7.4	4.7	3.0	0.0	15.0	12.4	7.0	1.36E-02	0.22
FBgn0010397	LamC	20.6	29.3	29.4	15.4	17.4	18.7	9.9	12.4	15.4	136.0	122.5	118.0	1.36E-02	0.47
FBgn0261243	Psa	37.7	39.9	42.2	35.5	33.4	31.4	28.0	22.3	31.6	524.9	401.8	211.3	1.36E-02	0.68
FBgn0027496	epsilonCOP	232.4	194.0	336.0	174.3	113.8	172.6	69.8	88.4	55.9	633.8	518.4	473.7	1.36E-02	0.28
FBgn0283503	Neurl4	11.6	9.8	13.3	4.5	9.9	6.4	5.6	4.4	0.0	9.5	6.4	5.8	1.36E-02	0.29
FBgn0002873	mud	26.2	41.4	37.3	24.3	33.5	28.3	17.6	14.1	13.6	125.3	102.9	171.2	1.37E-02	0.43
FBgn0263510	nclb	59.3	51.9	38.8	24.0	30.2	33.2	27.7	17.7	16.0	138.7	117.9	113.3	1.37E-02	0.41
FBgn0031713	Coq6	95.6	89.2	147.0	44.2	45.6	40.9	38.3	32.0	27.3	38.5	36.7	32.9	1.37E-02	0.29
FBgn0036133	CG7638	9.2	5.5	9.9	0.0	7.0	6.1	3.1	0.0	0.0	43.6	49.0	48.7	1.37E-02	0.13
FBgn0037028	CG3618	10.9	18.0	18.3	5.1	6.8	6.4	6.3	3.9	1.0	97.0	89.3	71.2	1.39E-02	0.24
FBgn0035518	CG15011	58.3	57.0	35.2	29.2	33.2	42.0	15.7	20.2	19.2	6.1	5.0	4.8	1.39E-02	0.37
FBgn0023177	Pp4-19C	84.5	87.1	78.3	54.6	60.9	61.3	31.4	61.5	38.5	2065.9	1885.3	1617.2	1.39E-02	0.53
FBgn0043884	mask	60.3	63.2	65.9	50.0	61.7	55.9	55.0	49.9	45.9	189.1	179.2	166.2	1.39E-02	0.80
FBgn0034001	mRpL41	290.1	230.7	385.8	136.3	92.6	111.3	114.6	100.6	119.9	229.0	208.8	221.2	1.39E-02	0.37
FBgn0036423	CG3919	10.6	8.5	13.1	18.1	0.0	5.0	4.1	4.1	0.0	29.9	26.3	31.6	1.39E-02	0.26
FBgn0003159	CG2841	14.2	13.1	14.8	8.1	15.0	10.1	9.2	11.2	7.8	13.1	18.2	17.9	1.39E-02	0.67
FBgn0037378	CG2046	225.4	182.8	248.2	98.3	93.9	109.6	121.2	86.8	26.6	183.4	181.1	126.2	1.39E-02	0.36
FBgn0037551	Arl8	54.8	27.9	69.3	26.9	0.0	23.2	0.0	0.0	0.0	424.3	467.8	538.4	1.40E-02	0.00
FBgn0262524	ver	47.1	37.5	29.3	14.7	5.2	13.0	3.4	18.2	4.3	28.5	41.8	42.7	1.40E-02	0.23
FBgn0266582	ND-30	147.1	101.9	183.8	76.9	51.2	55.6	20.2	44.5	50.2	417.1	359.8	326.5	1.40E-02	0.27
FBgn0034496	CG9143	69.2	37.8	58.1	27.2	23.4	21.6	21.2	9.6	7.0	177.9	162.1	161.2	1.40E-02	0.23
FBgn0263832	Rcd5	69.6	42.0	59.7	25.5	41.9	31.8	24.8	23.9	19.0	260.8	248.5	232.7	1.40E-02	0.40
FBgn0004574	Rop	73.0	70.3	95.9	49.2	51.2	55.7	27.4	40.5	47.0	83.2	74.4	62.2	1.41E-02	0.48
FBgn0025807	Rad9	10.8	7.6	7.5	4.1	2.4	3.9	3.8	2.8	0.0	25.3	29.2	29.2	1.42E-02	0.25
FBgn0004378	Klp61F	62.2	70.6	92.8	37.0	40.8	37.3	36.5	31.9	13.4	371.5	384.6	338.6	1.42E-02	0.36
FBgn0031664	CG8892	301.0	220.8	294.8	62.1	178.3	166.8	170.8	118.0	88.6	82.4	75.2	47.0	1.42E-02	0.46
FBgn0259978	vlc	151.5	244.3	212.8	141.0	119.2	123.3	98.1	84.8	78.3	227.4	281.0	307.8	1.42E-02	0.43
FBgn0053824	His3:CG33824	36.8	31.2	16.4	4.9	9.6	10.6	3.0	4.1	0.0	31.2	36.8	171.1	1.42E-02	0.08
FBgn0053821	His3:CG33821	36.8	31.2	16.4	4.9	9.6	10.6	3.0	4.1	0.0	31.2	36.8	171.1	1.42E-02	0.08
FBgn0053818	His3:CG33818	36.8	31.2	16.4	4.9	9.6	10.6	3.0	4.1	0.0	31.2	36.8	171.1	1.42E-02	0.08
FBgn0053827	His3:CG33827	36.8	31.2	16.4	4.9	9.6	10.6	3.0	4.1	0.0	31.2	36.8	171.1	1.42E-02	0.08
FBgn0053830	His3:CG33830	36.8	31.2	16.4	4.9	9.6	10.6	3.0	4.1	0.0	31.2	36.8	171.1	1.42E-02	0.08
FBgn0260987	vtd	309.9	363.4	191.2	161.9	124.9	114.9	65.3	95.0	35.5	478.2	654.1	673.0	1.42E-02	0.23
FBgn0028919	CG16865	30.9	17.5	37.8	0.0	6.5	2.6	0.0	6.8	0.0	85.8	83.3	80.2	1.42E-02	0.08
FBgn0037875	ZnT86D	1.7	3.5	0.0	0.0	0.0	24.1	17.7	8.6	14.4	215.8	189.7	179.3	1.43E-02	7.84
FBgn0028546	ics	118.8	141.8	89.3	48.3	38.1	86.6	50.3	57.1	32.7	570.3	759.6	736.4	1.43E-02	0.40
FBgn0259481	Mob2	66.2	57.3	47.5	36.5	57.2	48.5	33.0	30.9	36.6	14.2	20.7	16.8	1.43E-02	0.59
FBgn0032883	Rhau	25.8	26.0	16.6	21.2	15.5	10.8	9.9	9.0	3.6	24.9	23.3	18.1	1.43E-02	0.33
FBgn0030091	CG7065	13.9	15.8	22.1	12.3	7.0	8.5	6.5	5.5	0.0	58.3	59.9	56.1	1.43E-02	0.23
FBgn0033191	CG1598	98.3	78.1	139.7	29.4	46.5	31.0	32.3	32.4	17.0	53.4	53.0	34.0	1.43E-02	0.26
FBgn0033845	mars	47.1	54.1	69.1	26.1	33.9	36.6	29.0	30.4	30.2	388.6	399.6	394.1	1.44E-02	0.53
FBgn0264305	CG43783	15.1	20.1	15.8	10.6	10.3	12.3	9.0	4.6	9.7	101.1	94.3	83.4	1.44E-02	0.46
FBgn0050159	CG30159	96.0	63.0	111.6	46.3	32.8	43.0	25.3	37.0	19.8	75.8	62.5	72.3	1.45E-02	0.30
FBgn0037359	MED27	70.2	63.4	58.6	45.0	38.5	33.6	13.9	26.9	42.1	93.5	109.1	132.3	1.45E-02	0.43
FBgn0004103	Pp1-87B	186.1	222.6	271.8	143.6	125.7	170.6	111.3	129.8	124.5	3123.1	2852.6	2524.7	1.45E-02	0.54
FBgn0001994	crp	78.4	102.4	87.4	59.3	67.8	72.1	57.4	43.6	26.5	312.6	246.6	249.4	1.45E-02	0.48
FBgn0030598	CG9503	5.7	9.1	4.4	1.5	1.2	2.7	0.5	0.8	0.0	2.8	4.5	0.7	1.45E-02	0.07
FBgn0003886	alphaTub85E	16.1	30.0	19.1	12.1	16.4	11.1	4.2	5.1	3.2	54.2	31.2	52.9	1.46E-02	0.19
FBgn0033178	CG11127	24.9	28.6	30.0	21.3	21.4	21.2	12.0	16.5	3.2	202.6	181.9	154.4	1.46E-02	0.38
FBgn0039215	CG6695	7.2	6.6	9.8	10.4	8.7	9.6	3.2	3.0	0.0	46.7	56.2	57.0	1.46E-02	0.26
FBgn0035715	CG10103	108.2	76.1	70.2	41.5	35.1	41.2	38.3	29.8	36.8	150.2	134.6	192.4	1.46E-02	0.41
FBgn0035032	ATPsynF	379.2	452.3	710.8	255.5	269.5	182.5	123.0	93.6	0.0	1605.2	1519.7	1205.6	1.46E-02	0.14
FBgn0261353	Ccdc56	70.6	120.6	90.9	24.3	16.4	43.8	19.9	22.4	41.5	448.9	492.6	450.2	1.47E-02	0.30
FBgn0016119	ATPsynCF6	553.4	596.2	402.7	238.1	217.4	227.7	260.0	0.0	0.0	2992.4	3744.8	2934.5	1.47E-02	0.17
FBgn0035169	Dci	15.6	9.9	17.2	8.2	2.9	0.0	5.9	0.0	0.0	105.4	117.6	101.9	1.47E-02	0.14
FBgn0262952	mt:ND4	126.6	159.4	67.7	21.4	13.8	17.5	0.0	15.0	3.2	143.4	264.0	243.2	1.47E-02	0.05
FBgn0013746	alien	246.5	221.1	163.6	93.3	101.0	105.7	82.9	117.3	54.3	508.9	648.3	550.9	1.47E-02	0.40
FBgn0038039	CG5196	188.1	118.8	96.5	34.7	43.9	35.0	25.2	23.8	0.0	12.1	9.3	14.1	1.47E-02	0.12
FBgn0033716	Den1	114.8	58.6	90.4	42.5	32.7	41.2	20.7	24.3	4.0	24.2	32.4	32.2	1.47E-02	0.19
FBgn0025777	homer	57.0	81.3	50.9	21.3	35.1	28.4	26.4	25.8	20.4	350.1	341.2	440.2	1.48E-02	0.38
FBgn0035268	CG8001	0.0	0.0	0.0	0.0	2.9	2.2	9.2	4.6	4.8	104.8	87.8	66.0	1.48E-02	NA
FBgn0283525	l(2)10685	39.9	41.9	51.2	36.1	27.8	27.6	17.5	13.8	29.5	120.8	110.4	125.1	1.48E-02	0.46
FBgn0015615	SMC3	19.8	28.4	23.1	15.0	10.8	13.1	11.5	11.5	14.7	192.7	179.5	160.8	1.48E-02	0.53
FBgn0250837	dUTPase	1729.4	1839.9	2746.6	1128.2	1116.1	1182.9	754.6	838.3	737.6	8673.8	7594.0	7292.1	1.48E-02	0.37
FBgn0265935	coro	110.7	120.7	88.3	121.3	97.3	112.2	55.2	58.3	22.5	1358.8	1199.1	1096.1	1.48E-02	0.43
FBgn0032704	Jwa	127.6	169.2	191.0	93.6	89.9	81.8	81.5	84.8	46.0	875.3	1099.3	885.4	1.48E-02	0.44
FBgn0264962	Pcf11	19.1	23.3	17.4	16.7	13.7	8.9	11.9	7.1	11.7	113.1	220.2	147.3	1.48E-02	0.51
FBgn0027841	CstF64	175.6	157.3	237.6	120.2	103.6	127.9	95.6	77.8	91.3	104.5	108.5	97.8	1.49E-02	0.46
FBgn0032499	Uvrag	7.2	9.6	9.7	1.4	3.5	3.6	4.8	1.9	0.0	19.5	26.0	22.3	1.49E-02	0.25
FBgn0034988	cN-IIIB	64.7	57.7	91.5	29.4	37.9	24.8	30.8	18.6	29.3	416.9	429.0	424.6	1.49E-02	0.37
FBgn0040207	kat80	82.1	105.3	71.7	46.0	52.0	61.2	42.2	49.8	38.1	74.9	76.8	61.6	1.49E-02	0.50
FBgn0039732	CG15525	25.7	45.7	34.7	9.9	20.0	20.1	12.5	9.0	0.0	175.7	235.1	241.9	1.49E-02	0.20
FBgn0003748	Treh	38.6	44.3	51.4	27.1	24.5	27.5	24.3	26.2	11.7	93.4	88.7	89.2	1.50E-02	0.46
FBgn0041775	tral	4904.6	5177.2	6291.2	4356.9	4372.4	4047.8	2812.1	3176.7	3892.6	5120.8	4242.5	3347.9	1.50E-02	0.60
FBgn0283473	S6KL	88.8	74.0	65.0	54.0	49.7	55.6	35.2	43.4	14.7	186.8	195.6	152.1	1.50E-02	0.41
FBgn0036484	Pex3	44.8	41.1	62.9	36.7	25.6	28.1	18.7	22.3	6.3	243.4	256.8	304.5	1.50E-02	0.32
FBgn0264693	ens	78.0	106.1	104.2	66.9	71.7	67.0	37.1	53.0	59.8	621.8	813.7	809.9	1.51E-02	0.52
FBgn0032907	CG9272	119.7	196.9	215.8	69.3	76.5	73.8	58.4	57.6	13.4	48.1	60.4	56.4	1.51E-02	0.24
FBgn0038381	EndoU	55.8	54.8	105.6	6.1	21.0	37.4	0.0	8.3	0.0	406.4	367.3	407.5	1.52E-02	0.04
FBgn0250820	meigo	32.1	29.2	29.9	10.2	23.7	22.4	12.9	16.8	23.2	596.3	584.0	600.1	1.53E-02	0.58
FBgn0000181	bic	849.3	1034.0	1268.0	806.2	712.6	682.4	481.3	543.9	594.8	2964.8	2680.0	2457.9	1.53E-02	0.51
FBgn0053868	His2B:CG33868	11.8	10.0	5.0	3.4	2.0	3.3	1.0	0.9	0.0	30.9	82.3	48.6	1.53E-02	0.07
FBgn0030719	eIF5	263.2	301.6	230.5	54.4	164.6	164.6	152.1	59.7	144.4	881.7	1022.2	1015.7	1.53E-02	0.45
FBgn0027500	spd-2	128.7	137.6	145.7	141.6	152.1	143.3	102.7	93.7	116.1	120.9	119.0	117.2	1.54E-02	0.76
FBgn0039305	CG11858	217.3	272.5	189.9	167.5	203.1	189.3	112.5	128.4	133.3	252.8	319.3	280.9	1.54E-02	0.55
FBgn0027082	ProRS-m	17.0	8.6	10.2	0.0	8.2	7.6	0.0	2.6	0.0	6.1	7.7	8.9	1.54E-02	0.07
FBgn0260399	gwl	94.9	153.7	110.1	68.3	67.8	77.0	53.0	46.4	40.4	1771.6	1747.7	1601.0	1.54E-02	0.39
FBgn0023536	CG3156	8.2	13.4	11.6	10.1	2.6	6.5	5.1	2.4	0.0	40.3	37.3	42.0	1.55E-02	0.23
FBgn0020272	mst	54.8	36.9	43.2	19.6	36.1	23.3	23.8	19.8	24.9	16.0	14.9	12.6	1.55E-02	0.51
FBgn0038925	Cchl	84.4	118.1	153.7	49.7	55.7	57.1	37.9	37.4	38.1	730.5	699.1	602.8	1.55E-02	0.32
FBgn0036927	Gabat	35.1	64.9	54.0	6.3	11.3	12.5	9.4	12.7	19.8	311.8	323.7	306.8	1.56E-02	0.27
FBgn0030803	CG4880	46.4	62.3	72.5	15.2	27.5	28.3	17.9	27.7	31.4	1021.4	985.8	981.4	1.57E-02	0.43
FBgn0033100	CG3420	379.1	453.7	554.4	224.2	98.4	233.9	0.0	240.2	0.0	390.2	448.8	414.3	1.57E-02	0.17
FBgn0052708	CG32708	129.9	137.9	100.5	80.6	55.0	54.0	61.6	45.1	0.0	96.0	95.8	119.7	1.57E-02	0.29
FBgn0052264	CG32264	33.1	33.8	25.6	24.2	13.0	19.9	20.4	16.2	20.0	72.1	60.8	67.3	1.57E-02	0.61
FBgn0033569	CG12942	84.6	161.0	95.3	76.1	37.5	79.7	12.9	20.1	17.8	140.4	150.7	148.7	1.57E-02	0.15
FBgn0035323	CG13807	94.3	155.8	104.5	162.3	117.4	122.1	43.8	40.5	40.3	409.9	372.7	342.6	1.58E-02	0.35
FBgn0017457	U2af38	187.5	253.9	301.4	185.1	176.9	137.8	84.3	125.1	109.6	1373.2	1289.6	1378.6	1.58E-02	0.43
FBgn0031098	CG17068	39.6	39.0	46.6	21.1	36.0	36.4	16.6	28.9	26.1	287.4	248.5	234.4	1.59E-02	0.57
FBgn0086532	Spt-I	45.3	49.4	33.9	19.2	26.4	26.7	5.7	23.5	15.9	518.3	516.1	501.6	1.59E-02	0.35
FBgn0053497	Sdic2	181.7	103.4	234.4	108.0	118.6	69.9	21.0	19.2	20.7	110.1	85.0	352.1	1.59E-02	0.12
FBgn0028509	CenG1A	1.2	3.8	0.9	4.2	2.5	4.5	8.4	6.2	10.9	243.1	230.7	237.7	1.60E-02	4.39
FBgn0020235	ATPsyngamma	818.2	613.9	1053.7	404.5	463.7	417.3	286.7	310.4	345.4	3330.7	2562.7	2218.4	1.60E-02	0.38
FBgn0037347	CG1427	13.5	12.7	8.4	15.0	11.7	10.6	0.0	5.5	0.0	17.8	16.1	16.7	1.60E-02	0.16
FBgn0036726	QIL1	46.5	69.6	63.2	25.6	33.2	20.6	0.0	30.7	0.0	787.2	912.5	945.6	1.60E-02	0.17
FBgn0038972	CG7054	192.5	156.9	250.1	80.7	130.0	198.6	89.0	61.6	97.5	393.2	474.6	497.9	1.60E-02	0.41
FBgn0015402	ksr	0.6	2.8	2.8	3.3	3.5	2.8	7.8	5.2	5.9	43.1	50.4	40.4	1.60E-02	3.08
FBgn0025621	CG16989	19.5	25.6	19.5	13.7	12.0	13.5	10.7	14.1	8.5	48.8	41.4	43.0	1.60E-02	0.52
FBgn0037298	Sccpdh1	33.6	40.0	37.5	27.9	35.5	31.6	23.8	19.2	28.6	77.5	76.5	66.0	1.61E-02	0.64
FBgn0027873	Cpsf100	61.5	48.3	74.8	37.2	40.4	35.3	21.1	21.3	35.0	153.8	149.8	132.8	1.61E-02	0.42
FBgn0036198	crim	34.3	21.1	44.4	29.7	0.0	13.5	6.5	7.6	0.0	319.2	311.1	281.9	1.61E-02	0.14
FBgn0015924	crq	37.4	62.2	66.2	18.1	11.1	29.9	14.4	15.7	22.8	359.4	290.3	231.7	1.61E-02	0.32
FBgn0250791	alphaSnap	137.5	102.7	145.2	87.6	47.6	75.8	56.5	55.5	0.0	438.3	381.8	419.5	1.62E-02	0.29
FBgn0036579	CG5027	16.9	24.1	16.2	0.0	3.2	12.5	6.5	8.2	0.0	280.0	237.3	267.7	1.63E-02	0.26
FBgn0024491	Bin1	156.0	239.6	176.2	66.7	83.1	70.3	58.7	103.5	63.6	1706.6	2026.2	2079.6	1.63E-02	0.39
FBgn0036771	Wdr92	27.2	21.7	25.7	9.0	16.1	12.3	12.0	11.5	0.0	27.4	19.2	15.7	1.63E-02	0.32
FBgn0034527	CG9945	29.8	17.4	15.7	5.1	0.0	13.9	3.1	4.4	0.0	24.0	31.3	24.6	1.63E-02	0.12
FBgn0025463	Bap60	60.2	73.1	96.8	49.4	56.0	56.0	32.5	37.5	25.3	727.4	654.5	687.4	1.63E-02	0.41
FBgn0285950	RpL19	622.9	424.4	551.0	279.8	343.3	230.7	137.8	178.7	321.3	946.5	924.8	732.3	1.64E-02	0.40
FBgn0037184	CG14450	57.6	67.4	105.7	38.9	27.5	38.7	18.7	21.6	5.5	102.7	96.0	72.8	1.64E-02	0.20
FBgn0039186	CG5746	20.7	53.7	21.5	42.4	46.9	52.6	79.7	77.9	105.0	1753.2	1456.8	1374.5	1.64E-02	2.74
FBgn0011361	ND-ACP	177.4	196.5	319.1	176.3	144.5	142.8	46.9	51.7	61.8	1428.3	1568.5	1323.6	1.64E-02	0.23
FBgn0064116	anox	3.4	2.4	0.0	11.6	5.7	5.8	11.4	8.7	16.9	25.2	34.0	28.3	1.64E-02	6.47
FBgn0022984	qkr58E-3	172.1	149.2	114.8	99.4	102.1	138.9	49.3	87.0	60.2	291.6	341.0	377.2	1.64E-02	0.45
FBgn0002174	CG5504	152.3	137.7	215.5	81.5	78.1	103.6	71.4	53.3	80.5	97.2	94.5	107.2	1.65E-02	0.41
FBgn0000116	Argk	338.0	255.4	341.4	185.7	240.6	223.1	169.5	192.8	209.6	852.5	690.4	542.7	1.65E-02	0.61
FBgn0284249	Adf1	199.7	260.6	182.0	122.8	136.9	120.8	89.4	82.8	132.1	159.5	159.7	196.6	1.65E-02	0.47
FBgn0011660	Pms2	53.7	44.5	28.4	24.3	14.7	18.9	16.4	8.5	7.0	63.1	88.4	86.5	1.65E-02	0.25
FBgn0038256	CG7530	24.8	15.3	18.8	10.5	18.0	19.9	10.0	6.3	4.6	577.1	521.4	514.0	1.65E-02	0.35
FBgn0032456	MRP	1.3	3.1	0.0	2.8	5.2	1.8	8.2	4.8	7.4	113.1	106.3	118.4	1.66E-02	4.72
FBgn0044323	Cka	74.9	103.0	116.8	49.2	44.4	61.3	43.3	44.8	54.4	470.8	415.1	384.8	1.66E-02	0.48
FBgn0261112	APP-BP1	52.5	76.0	99.8	47.9	36.2	20.8	18.7	27.0	11.9	100.5	89.3	79.8	1.66E-02	0.25
FBgn0250814	UQCR-C2	218.0	158.8	222.8	104.9	141.1	151.2	122.3	82.8	112.4	479.8	388.7	316.3	1.67E-02	0.53
FBgn0004379	Klp67A	64.6	77.1	89.4	47.5	43.6	24.4	47.1	45.1	28.2	156.9	159.4	149.1	1.67E-02	0.52
FBgn0031815	frj	24.8	24.9	18.1	14.0	15.8	17.5	5.4	9.2	13.8	16.1	17.9	8.8	1.67E-02	0.42
FBgn0036661	CG9705	506.8	433.3	226.5	217.0	105.5	122.4	49.3	81.9	0.0	1439.3	1452.0	1519.8	1.67E-02	0.11
FBgn0037031	CG11456	41.2	44.1	77.4	31.8	19.9	8.1	10.3	9.2	0.0	8.4	9.6	6.5	1.68E-02	0.12
FBgn0004227	nonA	51.7	67.4	76.3	27.5	37.3	24.5	14.9	16.0	38.8	322.0	308.5	391.4	1.68E-02	0.36
FBgn0036389	ssp2	64.7	66.7	56.3	45.8	49.1	60.5	50.6	39.5	39.2	343.2	369.6	348.7	1.68E-02	0.69
FBgn0037241	CG14646	34.2	35.9	51.2	26.2	20.1	20.6	13.8	17.5	0.0	186.8	176.8	207.5	1.68E-02	0.26
FBgn0040752	Prosap	106.0	110.2	127.1	91.0	95.7	82.4	83.2	61.1	83.1	75.7	68.7	64.7	1.68E-02	0.66
FBgn0037892	mRpL40	80.0	74.7	89.1	34.7	39.4	36.2	53.1	14.0	33.8	79.8	74.5	81.4	1.68E-02	0.41
FBgn0085220	Ufm1	172.7	142.3	193.9	41.2	61.2	57.6	20.4	80.3	91.7	948.2	1054.9	919.4	1.68E-02	0.38
FBgn0038320	Sra-1	38.2	30.3	38.1	33.0	34.7	43.5	22.8	26.6	22.0	144.7	145.5	155.9	1.68E-02	0.67
FBgn0052281	CG32281	5.4	7.5	9.6	6.5	1.9	1.4	1.3	3.1	0.0	7.7	5.6	6.9	1.68E-02	0.20
FBgn0034859	CG3520	17.3	16.2	20.5	15.4	10.5	14.3	11.9	5.6	3.8	23.1	24.4	23.2	1.68E-02	0.40
FBgn0286222	Fum1	201.6	172.5	285.3	111.9	140.3	132.2	92.9	70.4	87.9	504.0	351.7	305.3	1.69E-02	0.38
FBgn0036449	bmm	55.4	97.9	98.5	49.4	58.6	68.6	26.5	31.8	21.4	427.6	428.3	462.5	1.70E-02	0.32
FBgn0028658	Adat1	10.5	19.3	22.8	9.5	0.0	8.2	5.1	0.0	0.0	3.2	8.9	3.1	1.70E-02	0.10
FBgn0003612	Su(var)2-10	94.9	153.0	179.2	96.0	103.6	120.7	47.6	46.8	20.5	1072.2	1046.1	1109.1	1.70E-02	0.27
FBgn0027083	MetRS-m	33.6	57.1	76.5	21.6	14.4	16.7	6.9	9.8	0.0	139.1	121.2	115.8	1.70E-02	0.10
FBgn0008635	betaCOP	151.0	111.6	122.9	87.5	90.3	88.6	82.0	72.0	85.3	307.1	270.0	206.3	1.70E-02	0.62
FBgn0033235	CG8728	172.0	125.9	85.7	49.5	44.9	55.0	10.4	25.4	38.4	23.8	25.3	18.8	1.70E-02	0.19
FBgn0036828	CG6841	52.8	35.1	29.0	21.7	22.4	26.6	11.8	8.3	11.6	55.2	53.8	62.5	1.70E-02	0.27
FBgn0011708	Syx5	41.1	72.3	63.9	35.9	43.0	36.0	18.2	26.6	17.6	203.5	218.8	216.3	1.71E-02	0.35
FBgn0037106	CG11307	44.3	70.7	49.5	17.4	36.7	42.6	0.0	24.0	14.5	650.1	729.7	790.6	1.71E-02	0.23
FBgn0029798	CG4078	36.2	29.4	23.7	18.4	22.0	17.7	15.6	15.3	9.3	37.8	32.2	36.0	1.71E-02	0.45
FBgn0014184	Oda	1217.7	1093.2	979.7	1099.9	987.0	963.0	858.8	795.4	771.7	1411.2	1540.6	1818.0	1.72E-02	0.74
FBgn0033206	DCTN4-p62	112.3	98.3	73.1	76.1	60.4	42.1	50.4	44.3	23.5	28.0	29.2	23.5	1.72E-02	0.42
FBgn0031094	CG9578	105.5	87.5	147.1	25.2	34.0	58.4	51.4	0.0	0.0	85.5	80.7	73.1	1.73E-02	0.15
FBgn0022960	vimar	71.6	81.6	105.4	36.4	54.2	56.0	43.5	45.6	49.7	482.5	432.4	437.4	1.74E-02	0.54
FBgn0259876	Cap-G	33.5	58.1	40.4	40.9	26.1	29.1	16.0	16.2	7.0	390.6	374.6	317.3	1.74E-02	0.30
FBgn0035942	ValRS-m	11.1	10.5	10.1	2.6	6.5	6.7	3.2	6.4	0.0	31.7	35.3	22.9	1.74E-02	0.30
FBgn0032721	CG10602	368.1	342.3	198.1	173.8	183.4	176.1	90.8	96.5	99.8	1233.0	1129.6	960.5	1.74E-02	0.32
FBgn0034366	Atg7	69.7	58.7	33.1	22.8	15.5	25.0	10.8	14.1	0.0	153.2	191.7	169.2	1.74E-02	0.15
FBgn0038672	CG6005	70.8	68.8	55.6	65.5	67.8	71.4	42.9	37.3	48.2	151.9	185.9	186.2	1.74E-02	0.66
FBgn0036686	CG7728	53.6	77.6	53.1	40.1	51.1	38.8	27.8	27.1	32.6	368.1	351.1	372.2	1.75E-02	0.47
FBgn0037722	CG8319	38.2	59.5	44.5	13.7	18.1	23.3	6.6	14.2	24.9	33.5	32.8	40.3	1.76E-02	0.32
FBgn0063493	GstE7	19.1	23.0	30.0	17.1	16.2	10.9	13.0	9.9	9.8	158.0	158.2	178.5	1.76E-02	0.45
FBgn0040308	Jafrac2	118.8	78.0	121.8	52.0	44.1	69.1	40.5	56.2	48.8	104.3	115.4	104.9	1.77E-02	0.46
FBgn0051992	gw	109.7	131.7	78.4	57.8	49.0	64.9	44.5	51.6	36.4	740.5	930.1	915.4	1.77E-02	0.41
FBgn0038013	CG10038	81.3	115.1	62.3	44.7	35.6	74.1	18.5	33.4	12.5	155.6	214.5	192.4	1.77E-02	0.25
FBgn0039528	dsd	3.4	5.4	3.2	5.0	10.2	8.1	7.3	10.6	11.9	137.4	124.0	126.1	1.78E-02	2.48
FBgn0037368	CG1239	125.0	127.2	72.1	68.4	74.4	65.8	22.8	19.2	47.8	11.4	9.5	17.7	1.78E-02	0.28
FBgn0262801	twr	90.7	181.0	155.1	81.3	0.0	61.2	0.0	52.8	0.0	1055.3	1003.3	993.3	1.78E-02	0.12
FBgn0034923	Upf3	41.9	65.1	48.5	36.7	24.0	20.7	22.2	16.5	27.7	62.1	82.8	59.7	1.78E-02	0.43
FBgn0022786	Hira	45.0	50.1	65.0	35.8	47.1	39.3	27.9	21.6	32.2	18.4	20.0	18.3	1.78E-02	0.51
