From	To	Species	Gene Name
Q9VGK3	FBgn0037930	Drosophila melanogaster	CG14715 gene product from transcript CG14715-RA(CG14715)
P41092	FBgn0261606	Drosophila melanogaster	Ribosomal protein L27A(RpL27A)
P41093	FBgn0010409	Drosophila melanogaster	Ribosomal protein L18A(RpL18A)
P41094	FBgn0010411	Drosophila melanogaster	Ribosomal protein S18(RpS18)
Q0KHU2	FBgn0262735	Drosophila melanogaster	IGF-II mRNA-binding protein(Imp)
Q9VTU8	FBgn0027843	Drosophila melanogaster	Carbonic anhydrase 2(CAH2)
P18101	FBgn0003941	Drosophila melanogaster	Ribosomal protein L40(RpL40)
Q9VU67	FBgn0036356	Drosophila melanogaster	CG10222 gene product from transcript CG10222-RB(CG10222)
Q9U6B6	FBgn0028962	Drosophila melanogaster	mitochondrial alanyl-tRNA synthetase(Aats-ala-m)
Q0KI68	FBgn0262527	Drosophila melanogaster	non-specific lethal 1(nsl1)
Q0KI67	FBgn0026059	Drosophila melanogaster	Myosin heavy chain-like(Mhcl)
Q27411	FBgn0014022	Drosophila melanogaster	CG8161 gene product from transcript CG8161-RA(Rlb1)
Q9VTU2	FBgn0011455	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) SGDH subunit(ND-SGDH)
Q9VTU1	FBgn0036255	Drosophila melanogaster	Autophagy-related 12(Atg12)
Q9VTU4	FBgn0036258	Drosophila melanogaster	CG5642 gene product from transcript CG5642-RA(CG5642)
Q9VTU3	FBgn0036257	Drosophila melanogaster	Rho GTPase activating protein at 68F(RhoGAP68F)
Q9VU65	FBgn0036354	Drosophila melanogaster	Proteome of centrioles 1(Poc1)
Q9VGF5	FBgn0260744	Drosophila melanogaster	Transport and Golgi organization 9(Tango9)
B7Z0E2	FBgn0263352	Drosophila melanogaster	Upstream of N-ras(Unr)
A8JNJ9	FBgn0004875	Drosophila melanogaster	encore(enc)
A8JNJ8	FBgn0052264	Drosophila melanogaster	CG32264 gene product from transcript CG32264-RK(CG32264)
Q9VGF7	FBgn0260743	Drosophila melanogaster	Glutamate Carrier 1(GC1)
P00399	FBgn0013674	Drosophila melanogaster	cytochrome c oxidase subunit I(COX1)
Q0KI58	FBgn0042693	Drosophila melanogaster	CG7913 gene product from transcript CG7913-RK(PP2A-B')
A8JNJ6	FBgn0004167	Drosophila melanogaster	karst(kst)
Q9VGF1	FBgn0037975	Drosophila melanogaster	CG3397 gene product from transcript CG3397-RA(CG3397)
Q9VGF3	FBgn0037973	Drosophila melanogaster	CG18547 gene product from transcript CG18547-RA(CG18547)
B7Z0E0	FBgn0001248	Drosophila melanogaster	Isocitrate dehydrogenase(Idh)
A1Z6G4	FBgn0039970	Drosophila melanogaster	CG17508 gene product from transcript CG17508-RA(CG17508)
A1Z6G6	FBgn0027507	Drosophila melanogaster	CG1344 gene product from transcript CG1344-RB(CG1344)
Q9VTV9	FBgn0036271	Drosophila melanogaster	Porphobilinogen synthase(Pbgs)
Q6TMH4	FBgn0033528	Drosophila melanogaster	translin(trsn)
Q9VKQ6	FBgn0032296	Drosophila melanogaster	CG6729 gene product from transcript CG6729-RA(CG6729)
Q9VL25	FBgn0032194	Drosophila melanogaster	CG4901 gene product from transcript CG4901-RA(CG4901)
Q9VTV1	FBgn0036263	Drosophila melanogaster	CG5632 gene product from transcript CG5632-RC(thoc6)
Q9BI21	FBgn0039117	Drosophila melanogaster	twister(tst)
Q9VL29	FBgn0085188	Drosophila melanogaster	CG34159 gene product from transcript CG34159-RA(CG34159)
Q9VKQ9	FBgn0032293	Drosophila melanogaster	Dpy-30-like 1(Dpy-30L1)
Q9VTV4	FBgn0036266	Drosophila melanogaster	CG5626 gene product from transcript CG5626-RA(CG5626)
A4V3H1	FBgn0004903	Drosophila melanogaster	Ribonuclear protein at 97D(Rb97D)
Q9VGE7	FBgn0260746	Drosophila melanogaster	Ectoderm-expressed 3(Ect3)
Q9VKR0	FBgn0032292	Drosophila melanogaster	ER Membrane protein Complex 3(EMC3)
Q9VGE4	FBgn0037979	Drosophila melanogaster	GCC185 ortholog (H. sapiens)(GCC185)
Q9VTW0	FBgn0036272	Drosophila melanogaster	CG4300 gene product from transcript CG4300-RB(CG4300)
Q95SC2	FBgn0260750	Drosophila melanogaster	Multi-substrate lipid kinase(Mulk)
Q9VL31	FBgn0032189	Drosophila melanogaster	RPA-interacting protein alpha(Ripalpha)
A8JNK1	FBgn0264693	Drosophila melanogaster	ensconsin(ens)
Q03019	FBgn0002673	Drosophila melanogaster	twine(twe)
A8JNK4	FBgn0035533	Drosophila melanogaster	Cdc42-interacting protein 4(Cip4)
Q8SZF2	FBgn0017567	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) 23 kDa subunit(ND-23)
Q7KS06	FBgn0039254	Drosophila melanogaster	Nicotinamide mononucleotide adenylyltransferase(Nmnat)
Q9VU46	FBgn0036342	Drosophila melanogaster	CG11279 gene product from transcript CG11279-RC(CG11279)
Q9VU45	FBgn0036341	Drosophila melanogaster	Syntaxin 13(Syx13)
P40797	FBgn0013726	Drosophila melanogaster	peanut(pnut)
P40796	FBgn0011638	Drosophila melanogaster	La autoantigen-like(La)
Q9VTS7	FBgn0036242	Drosophila melanogaster	CG6793 gene product from transcript CG6793-RA(CG6793)
P40793	FBgn0010341	Drosophila melanogaster	CG12530 gene product from transcript CG12530-RC(Cdc42)
P40792	FBgn0010333	Drosophila melanogaster	CG2248 gene product from transcript CG2248-RB(Rac1)
Q0KI81	FBgn0259227	Drosophila melanogaster	CG42327 gene product from transcript CG42327-RE(CG42327)
Q9VL57	FBgn0032170	Drosophila melanogaster	CG4658 gene product from transcript CG4658-RD(CG4658)
Q9VKU5	FBgn0032259	Drosophila melanogaster	CG6144 gene product from transcript CG6144-RB(CG6144)
Q95SF7	FBgn0035770	Drosophila melanogaster	pastrel(pst)
Q9VL67	FBgn0032161	Drosophila melanogaster	CG4594 gene product from transcript CG4594-RB(CG4594)
Q9VKU7	FBgn0026431	Drosophila melanogaster	CG6176 gene product from transcript CG6176-RA(Grip75)
Q9VL60	FBgn0032168	Drosophila melanogaster	CG13126 gene product from transcript CG13126-RB(CG13126)
Q9VKU1	FBgn0267828	Drosophila melanogaster	Fatty acid (long chain) transport protein(Fatp)
Q9VKU2	FBgn0032262	Drosophila melanogaster	CG7384 gene product from transcript CG7384-RA(CG7384)
Q9VKU3	FBgn0032261	Drosophila melanogaster	CG6094 gene product from transcript CG6094-RB(CG6094)
Q8SZE1	FBgn0035390	Drosophila melanogaster	scramblase 2(scramb2)
Q8SZE4	FBgn0031117	Drosophila melanogaster	Glutathione S transferase T3(GstT3)
Q9VGH0	FBgn0037958	Drosophila melanogaster	CG6962 gene product from transcript CG6962-RA(CG6962)
A8JNN1	FBgn0262579	Drosophila melanogaster	Ectoderm-expressed 4(Ect4)
Q0KI99	FBgn0037655	Drosophila melanogaster	CG11984 gene product from transcript CG11984-RD(CG11984)
Q0KI98	FBgn0010803	Drosophila melanogaster	Tryptophanyl-tRNA synthetase(Aats-trp)
Q0KHX7	FBgn0025633	Drosophila melanogaster	CG13366 gene product from transcript CG13366-RG(CG13366)
Q9VTT9	FBgn0046296	Drosophila melanogaster	CG11534 gene product from transcript CG11534-RA(CG11534)
Q0KI97	FBgn0083953	Drosophila melanogaster	CG34117 gene product from transcript CG34117-RA(CG34117)
Q9VU58	FBgn0040813	Drosophila melanogaster	Neuropeptide-like precursor 2(Nplp2)
Q0KI96	FBgn0261552	Drosophila melanogaster	pasilla(ps)
Q7PLW5	FBgn0040514	Drosophila melanogaster	CG17169 gene product from transcript CG17169-RB(CG17169)
Q9W5T4	FBgn0250830	Drosophila melanogaster	CG12547 gene product from transcript CG12547-RB(CG12547)
Q9VTT2	FBgn0011335	Drosophila melanogaster	lethal (3) j2D3(l(3)j2D3)
B7Z0C9	FBgn0259203	Drosophila melanogaster	CG42307 gene product from transcript CG42307-RD(CG42307)
B7Z0D3	FBgn0035793	Drosophila melanogaster	CG7546 gene product from transcript CG7546-RH(CG7546)
Q9VL52	FBgn0051755	Drosophila melanogaster	Sister of Yb(SoYb)
Q95SE0	FBgn0030082	Drosophila melanogaster	Heterochromatin Protein 1b(HP1b)
Q9VGG5	FBgn0037963	Drosophila melanogaster	Cadherin 87A(Cad87A)
A8JNM5	FBgn0261788	Drosophila melanogaster	Ankyrin 2(Ank2)
Q95SE8	FBgn0036318	Drosophila melanogaster	Wbp2 ortholog(Wbp2)
Q9VGQ8	FBgn0037884	Drosophila melanogaster	Arfaptin(Arfip)
Q9V813	FBgn0034215	Drosophila melanogaster	Methylthioadenosine phosphorylase ortholog(Mtap)
Q9VL75	FBgn0010520	Drosophila melanogaster	Bekka(Bka)
Q9VKV5	FBgn0032250	Drosophila melanogaster	hole-in-one(holn1)
Q9VKV8	FBgn0032248	Drosophila melanogaster	Basal body up regulated gene 22 ortholog(Bug22)
Q9VL78	FBgn0029174	Drosophila melanogaster	FK506-binding protein FKBP59(FKBP59)
Q9V7P1	FBgn0262560	Drosophila melanogaster	wicked(wcd)
Q9VKV4	FBgn0032251	Drosophila melanogaster	Non-SMC element 4(Nse4)
Q9W4X7	FBgn0029629	Drosophila melanogaster	eIF3g paralogue a(eIF3ga)
Q9W4X9	FBgn0004643	Drosophila melanogaster	Zeste-white 10(Zw10)
Q9VGR0	FBgn0037882	Drosophila melanogaster	CG17187 gene product from transcript CG17187-RA(CG17187)
Q9VL68	FBgn0032160	Drosophila melanogaster	CG4598 gene product from transcript CG4598-RB(CG4598)
Q9VL69	FBgn0025700	Drosophila melanogaster	CG5885 gene product from transcript CG5885-RB(CG5885)
Q7KSJ6	FBgn0263929	Drosophila melanogaster	javelin-like(jvl)
Q9VH36	FBgn0037780	Drosophila melanogaster	CG3925 gene product from transcript CG3925-RA(CG3925)
Q9VGR7	FBgn0037878	Drosophila melanogaster	CG6693 gene product from transcript CG6693-RA(CG6693)
Q9VH37	FBgn0037779	Drosophila melanogaster	CG12811 gene product from transcript CG12811-RA(CG12811)
Q9VH38	FBgn0037778	Drosophila melanogaster	mitochondrial transcription factor B2(mtTFB2)
Q9VGR1	FBgn0037881	Drosophila melanogaster	GCC88 ortholog (H. sapiens)(GCC88)
Q9VGR2	FBgn0037880	Drosophila melanogaster	CG17726 gene product from transcript CG17726-RA(CG17726)
Q9VKW1	FBgn0032246	Drosophila melanogaster	CG5168 gene product from transcript CG5168-RB(CG5168)
A1Z6Z2	FBgn0010548	Drosophila melanogaster	Aldehyde dehydrogenase type III(Aldh-III)
Q86B79	FBgn0004395	Drosophila melanogaster	unkempt(unk)
Q8SYI9	FBgn0029718	Drosophila melanogaster	mitochondrial ribosomal protein L30(mRpL30)
Q9VH39	FBgn0037777	Drosophila melanogaster	CG11722 gene product from transcript CG11722-RA(CG11722)
Q9W590	FBgn0266284	Drosophila melanogaster	Nucleostemin ortholog (H. sapiens) 3(Ns3)
Q95SH7	FBgn0035440	Drosophila melanogaster	CG14969 gene product from transcript CG14969-RA(CG14969)
A1Z6Z7	FBgn0033183	Drosophila melanogaster	CG1620 gene product from transcript CG1620-RA(CG1620)
Q00174	FBgn0002526	Drosophila melanogaster	Laminin A(LanA)
P23257	FBgn0260639	Drosophila melanogaster	gamma-Tubulin at 23C(gammaTub23C)
Q9VKW3	FBgn0032244	Drosophila melanogaster	Replication factor C subunit 3(RfC3)
Q95SH2	FBgn0036805	Drosophila melanogaster	Charged multivesicular body protein 1(Chmp1)
A1Z6Z8	FBgn0261397	Drosophila melanogaster	dilute class unconventional myosin(didum)
Q9VH48	FBgn0037770	Drosophila melanogaster	Arginine methyltransferase 4(Art4)
Q9VGS2	FBgn0037874	Drosophila melanogaster	Translationally controlled tumor protein ortholog (H. sapiens)(Tctp)
A8JNI2	FBgn0035253	Drosophila melanogaster	CG7971 gene product from transcript CG7971-RC(CG7971)
Q9VL92	FBgn0015035	Drosophila melanogaster	Cytochrome P450-4e3(Cyp4e3)
Q9VKX4	FBgn0032236	Drosophila melanogaster	mitochondrial ribosomal protein S7(mRpS7)
Q9VL93	FBgn0032140	Drosophila melanogaster	CG13117 gene product from transcript CG13117-RB(CG13117)
Q9VL96	FBgn0032138	Drosophila melanogaster	CG4364 gene product from transcript CG4364-RA(CG4364)
Q95SI7	FBgn0038924	Drosophila melanogaster	CG6028 gene product from transcript CG6028-RA(CG6028)
Q00963	FBgn0250788	Drosophila melanogaster	beta Spectrin(beta-Spec)
Q8T3M6	FBgn0021856	Drosophila melanogaster	lethal (2) k14505(l(2)k14505)
Q9VT74	FBgn0036063	Drosophila melanogaster	CG6674 gene product from transcript CG6674-RB(CG6674)
P48609	FBgn0013762	Drosophila melanogaster	Cyclin-dependent kinase 5(Cdk5)
Q9VT75	FBgn0263251	Drosophila melanogaster	variable nurse cells(vnc)
P48608	FBgn0011202	Drosophila melanogaster	diaphanous(dia)
Q8T3M1	FBgn0036998	Drosophila melanogaster	CG5969 gene product from transcript CG5969-RA(CG5969)
Q9W4V8	FBgn0250874	Drosophila melanogaster	tiny tim 50(ttm50)
Q9VGT3	FBgn0040259	Drosophila melanogaster	CG18578 gene product from transcript CG18578-RA(Ugt86Da)
P48605	FBgn0015019	Drosophila melanogaster	CG8977 gene product from transcript CG8977-RB(Cctgamma)
P48604	FBgn0014877	Drosophila melanogaster	CG6155 gene product from transcript CG6155-RA(Roe1)
Q86B83	FBgn0053099	Drosophila melanogaster	CG33099 gene product from transcript CG33099-RA(CG33099)
P48603	FBgn0011570	Drosophila melanogaster	capping protein beta(cpb)
A4V391	FBgn0003676	Drosophila melanogaster	Tcp1-like(T-cp1)
P48602	FBgn0265262	Drosophila melanogaster	Vacuolar H[+] ATPase 68kD subunit 1(Vha68-1)
P48601	FBgn0015282	Drosophila melanogaster	Regulatory particle triple-A ATPase 2(Rpt2)
P00334	FBgn0000055	Drosophila melanogaster	Alcohol dehydrogenase(Adh)
Q9VKY3	FBgn0032229	Drosophila melanogaster	CG5045 gene product from transcript CG5045-RB(CG5045)
Q8SYG2	FBgn0027055	Drosophila melanogaster	COP9 signalosome subunit 3(CSN3)
Q8SYG3	FBgn0058045	Drosophila melanogaster	CG40045 gene product from transcript CG40045-RB(CG40045)
A8JNH8	FBgn0264574	Drosophila melanogaster	Glucose transporter 1(Glut1)
A1Z6X6	FBgn0283450	Drosophila melanogaster	Glyoxalase 1(Glo1)
Q9VKY4	FBgn0032228	Drosophila melanogaster	CG5367 gene product from transcript CG5367-RA(CG5367)
Q8T3L6	FBgn0036691	Drosophila melanogaster	bad egg(beg)
Q9W4U2	FBgn0029648	Drosophila melanogaster	CG3603 gene product from transcript CG3603-RB(CG3603)
Q8T3L4	FBgn0262517	Drosophila melanogaster	Listerin E3 ubiquitin protein ligase 1(Ltn1)
Q8T3L2	FBgn0267975	Drosophila melanogaster	vibrator(vib)
Q9VSU6	FBgn0035964	Drosophila melanogaster	Dihydropteridine reductase(Dhpr)
Q9VT65	FBgn0025866	Drosophila melanogaster	Calpain-B(CalpB)
Q9VGU6	FBgn0042094	Drosophila melanogaster	Adenylate kinase 3(Adk3)
Q9VH64	FBgn0037756	Drosophila melanogaster	CG8507 gene product from transcript CG8507-RA(CG8507)
Q9VT68	FBgn0036058	Drosophila melanogaster	CG6707 gene product from transcript CG6707-RA(CG6707)
A4V2Y6	FBgn0004117	Drosophila melanogaster	Tropomyosin 2(Tm2)
Q9VH69	FBgn0261599	Drosophila melanogaster	Ribosomal protein S29(RpS29)
Q8T3K5	FBgn0053100	Drosophila melanogaster	eIF4E-Homologous Protein(4EHP)
Q8SYL0	FBgn0038649	Drosophila melanogaster	CG7718 gene product from transcript CG7718-RA(CG7718)
Q9VKZ9	FBgn0267365	Drosophila melanogaster	lethal (2) SH0834(l(2)SH0834)
Q70PY2	FBgn0043578	Drosophila melanogaster	CG9681 gene product from transcript CG9681-RA(PGRP-SB1)
Q8SYL1	FBgn0022288	Drosophila melanogaster	lethal (2) 09851(l(2)09851)
O97454	FBgn0001491	Drosophila melanogaster	lethal (1) 10Bb(l(1)10Bb)
Q95SK5	FBgn0042712	Drosophila melanogaster	CG1898 gene product from transcript CG1898-RB(HBS1)
Q9VKZ8	FBgn0032216	Drosophila melanogaster	Ubiquitin specific protease 14(Usp14)
P83103	FBgn0046706	Drosophila melanogaster	CG40080 gene product from transcript CG40080-RA(Haspin)
Q9VGM4	FBgn0037911	Drosophila melanogaster	CG10898 gene product from transcript CG10898-RA(CG10898)
P51406	FBgn0010292	Drosophila melanogaster	by S6(bys)
P36951	FBgn0011770	Drosophila melanogaster	GIP-like(Gip)
Q7JWF1	FBgn0033465	Drosophila melanogaster	Electron transfer flavoprotein-ubiquinone oxidoreductase(Etf-QO)
Q95SK3	FBgn0050291	Drosophila melanogaster	CG30291 gene product from transcript CG30291-RA(CG30291)
Q27367	FBgn0015924	Drosophila melanogaster	croquemort(crq)
P36958	FBgn0004855	Drosophila melanogaster	RNA polymerase II 15kD subunit(RpII15)
Q7JWD6	FBgn0266711	Drosophila melanogaster	Elongin C(EloC)
Q7JWD3	FBgn0033191	Drosophila melanogaster	CG1598 gene product from transcript CG1598-RA(CG1598)
O97468	FBgn0025790	Drosophila melanogaster	TAR DNA-binding protein-43 homolog(TBPH)
Q9VGN9	FBgn0037899	Drosophila melanogaster	Ribosomal protein L24-like(RpL24-like)
Q8SYM9	FBgn0036775	Drosophila melanogaster	CG5147 gene product from transcript CG5147-RA(CG5147)
Q9VGN8	FBgn0037900	Drosophila melanogaster	CG5276 gene product from transcript CG5276-RA(CG5276)
P48611	FBgn0003141	Drosophila melanogaster	purple(pr)
Q9VH02	FBgn0037807	Drosophila melanogaster	CG6293 gene product from transcript CG6293-RB(CG6293)
P48612	FBgn0011207	Drosophila melanogaster	pelota(pelo)
Q27370	FBgn0014023	Drosophila melanogaster	mitochondrial ribosomal protein L47(mRpL47)
Q8SYJ2	FBgn0052230	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) MLRQ subunit(ND-MLRQ)
O97477	FBgn0025885	Drosophila melanogaster	CG11143 gene product from transcript CG11143-RA(Inos)
Q9V831	FBgn0034231	Drosophila melanogaster	Anaphase Promoting Complex subunit 10(APC10)
Q7JWG9	FBgn0033208	Drosophila melanogaster	mitochondrial ribosomal protein L52(mRpL52)
O97471	FBgn0025814	Drosophila melanogaster	Microsomal glutathione S-transferase-like(Mgstl)
Q9VH07	FBgn0040078	Drosophila melanogaster	pontin(pont)
Q8SYJ9	FBgn0061361	Drosophila melanogaster	CG33786 gene product from transcript CG33786-RA(CG33786)
Q8SYJ7	FBgn0039632	Drosophila melanogaster	Cullin 5(Cul5)
P02572	FBgn0000043	Drosophila melanogaster	Actin 42A(Act42A)
P20153	FBgn0003964	Drosophila melanogaster	ultraspiracle(usp)
Q9VGP4	FBgn0037894	Drosophila melanogaster	CG5252 gene product from transcript CG5252-RA(Ranbp9)
Q9VGP6	FBgn0264694	Drosophila melanogaster	merry-go-round(mgr)
Q9VSZ6	FBgn0036000	Drosophila melanogaster	CG3434 gene product from transcript CG3434-RA(CG3434)
Q8T3H9	FBgn0051550	Drosophila melanogaster	CG31550 gene product from transcript CG31550-RE(CG31550)
Q9W4Z1	FBgn0003159	Drosophila melanogaster	CG2841 gene product from transcript CG2841-RD(CG2841)
Q9VSZ1	FBgn0035995	Drosophila melanogaster	CG3529 gene product from transcript CG3529-RB(CG3529)
Q9W4Z2	FBgn0040389	Drosophila melanogaster	mitochondrial ribosomal protein L14(mRpL14)
Q9VSZ2	FBgn0035996	Drosophila melanogaster	CG3448 gene product from transcript CG3448-RB(CG3448)
Q9VH19	FBgn0086359	Drosophila melanogaster	CG3953 gene product from transcript CG3953-RA(Invadolysin)
Q9VGP7	FBgn0037892	Drosophila melanogaster	mitochondrial ribosomal protein L40(mRpL40)
Q9VGQ1	FBgn0037891	Drosophila melanogaster	CG5214 gene product from transcript CG5214-RA(CG5214)
Q27393	FBgn0000147	Drosophila melanogaster	aurora A(aurA)
Q9VH25	FBgn0266721	Drosophila melanogaster	gamma Soluble NSF attachment protein 2(gammaSnap2)
Q9VSY6	FBgn0023129	Drosophila melanogaster	astray(aay)
Q9VSY8	FBgn0260859	Drosophila melanogaster	BET3 ortholog (S. cerevisiae)(Bet3)
Q7KSB3	FBgn0261550	Drosophila melanogaster	CG42668 gene product from transcript CG42668-RK(CG42668)
P82804	FBgn0034918	Drosophila melanogaster	Partner of Y14 and Mago(Pym)
Q8T481	FBgn0052022	Drosophila melanogaster	CG32022 gene product from transcript CG32022-RB(CG32022)
Q8T487	FBgn0030370	Drosophila melanogaster	Uch-L5-related(Uch-L5R)
Q8T486	FBgn0032054	Drosophila melanogaster	CG13090 gene product from transcript CG13090-RC(CG13090)
Q7JVX4	FBgn0034646	Drosophila melanogaster	CG9862 gene product from transcript CG9862-RA(Rae1)
Q9VTB3	FBgn0036099	Drosophila melanogaster	CG11811 gene product from transcript CG11811-RA(CG11811)
Q7JVX3	FBgn0039073	Drosophila melanogaster	CG4408 gene product from transcript CG4408-RA(CG4408)
Q9VTB0	FBgn0036096	Drosophila melanogaster	CG8003 gene product from transcript CG8003-RB(CG8003)
B7Z018	FBgn0265968	Drosophila melanogaster	TFB5 ortholog (S. cerevisiae)(Tfb5)
P15348	FBgn0003732	Drosophila melanogaster	Topoisomerase 2(Top2)
O97418	FBgn0025839	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) B14.5 A subunit(ND-B14.5A)
Q8SZ15	FBgn0034307	Drosophila melanogaster	CG10914 gene product from transcript CG10914-RA(CG10914)
Q8SZ16	FBgn0038437	Drosophila melanogaster	Succinate dehydrogenase assembly factor 3(Sdhaf3)
A1Z743	FBgn0050497	Drosophila melanogaster	CG30497 gene product from transcript CG30497-RD(CG30497)
A1Z6S6	FBgn0022960	Drosophila melanogaster	visceral mesodermal armadillo-repeats(vimar)
Q8SZ19	FBgn0028685	Drosophila melanogaster	Regulatory particle triple-A ATPase 4(Rpt4)
Q8SYP9	FBgn0044510	Drosophila melanogaster	mitochondrial ribosomal protein S5(mRpS5)
Q4AB40	FBgn0263750	Drosophila melanogaster	CG43675 gene product from transcript CG43675-RC(CG43675)
Q7KSA4	FBgn0038803	Drosophila melanogaster	CG5191 gene product from transcript CG5191-RE(CG5191)
Q9VTB4	FBgn0047038	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) 13 kDa B subunit(ND-13B)
Q95SP9	FBgn0038467	Drosophila melanogaster	Adenylosuccinate Lyase(AdSL)
Q95T19	FBgn0051133	Drosophila melanogaster	Seryl-tRNA synthetase-like insect mitochondrial protein(Slimp)
Q7KSC4	FBgn0038662	Drosophila melanogaster	Mitochondrial pyruvate carrier(Mpc1)
A4V2S3	FBgn0020496	Drosophila melanogaster	C-terminal Binding Protein(CtBP)
B7Z001	FBgn0283427	Drosophila melanogaster	Fatty acid synthase 1(FASN1)
B7Z002	FBgn0266557	Drosophila melanogaster	kismet(kis)
Q7JVW9	FBgn0028546	Drosophila melanogaster	icarus(ics)
Q7K7W5	FBgn0000057	Drosophila melanogaster	adipose(adp)
B7Z000	FBgn0025681	Drosophila melanogaster	CG3558 gene product from transcript CG3558-RD(CG3558)
O97428	FBgn0026084	Drosophila melanogaster	ciboulot(cib)
Q9V7Y2	FBgn0010591	Drosophila melanogaster	Sphingosine-1-phosphate lyase(Sply)
Q9NGN7	FBgn0032243	Drosophila melanogaster	Kinesin-like protein at 31E(Klp31E)
A1Z734	FBgn0033212	Drosophila melanogaster	Leucine-rich repeat(LRR)
P46461	FBgn0000346	Drosophila melanogaster	comatose(comt)
Q8SYQ8	FBgn0033100	Drosophila melanogaster	CG3420 gene product from transcript CG3420-RA(CG3420)
O97422	FBgn0066114	Drosophila melanogaster	CG32775 gene product from transcript CG32775-RA(GlcAT-I)
Q7KSB5	FBgn0038771	Drosophila melanogaster	CG4390 gene product from transcript CG4390-RB(CG4390)
Q4AB31	FBgn0250823	Drosophila melanogaster	gilgamesh(gish)
Q7KSD3	FBgn0023083	Drosophila melanogaster	frayed(fray)
Q7KJA9	FBgn0261403	Drosophila melanogaster	super sex combs(sxc)
Q7JVZ8	FBgn0034354	Drosophila melanogaster	Glutathione S transferase E11(GstE11)
Q8T3U2	FBgn0033912	Drosophila melanogaster	Ribosomal protein S23(RpS23)
P84345	FBgn0013673	Drosophila melanogaster	ATP synthase F0 subunit 8(ATP8)
Q9V877	FBgn0003545	Drosophila melanogaster	subito(sub)
Q9NH01	FBgn0086371	Drosophila melanogaster	CG9829 gene product from transcript CG9829-RB(poly)
A1Z6Q0	FBgn0265003	Drosophila melanogaster	klaroid(koi)
A1Z6Q1	FBgn0265003	Drosophila melanogaster	klaroid(koi)
Q8SYN2	FBgn0030305	Drosophila melanogaster	CG1749 gene product from transcript CG1749-RA(CG1749)
P08736	FBgn0000556	Drosophila melanogaster	Elongation factor 1alpha48D(Ef1alpha48D)
Q7KSE0	FBgn0038575	Drosophila melanogaster	CG7208 gene product from transcript CG7208-RA(CG7208)
A1Z6P8	FBgn0085421	Drosophila melanogaster	Exchange protein directly activated by cAMP ortholog (H. sapiens)(Epac)
Q9VLB0	FBgn0032126	Drosophila melanogaster	CG13113 gene product from transcript CG13113-RA(CG13113)
Q95SR3	FBgn0026433	Drosophila melanogaster	CG9201 gene product from transcript CG9201-RB(Grip128)
Q7JVY0	FBgn0265935	Drosophila melanogaster	CG9446 gene product from transcript CG9446-RA(coro)
O61348	FBgn0024251	Drosophila melanogaster	bobby sox(bbx)
O61347	FBgn0024182	Drosophila melanogaster	waclaw(waw)
Q7JVY2	FBgn0000996	Drosophila melanogaster	double parked(dup)
O61345	FBgn0015527	Drosophila melanogaster	penguin(peng)
Q9NH11	FBgn0040290	Drosophila melanogaster	RecQ4 helicase(RecQ4)
Q9V7W9	FBgn0026402	Drosophila melanogaster	Nuclear inhibitor of Protein phosphatase 1(NiPp1)
A1Z713	FBgn0033194	Drosophila melanogaster	Vacuolar protein sorting 13(Vps13)
A1Z6P3	FBgn0027066	Drosophila melanogaster	CG3265 gene product from transcript CG3265-RF(Eb1)
A1Z712	FBgn0004132	Drosophila melanogaster	CG30498 gene product from transcript CG30498-RA(boca)
B7Z058	FBgn0036518	Drosophila melanogaster	Rho GTPase activating protein at 71E(RhoGAP71E)
Q9VGV9	FBgn0037842	Drosophila melanogaster	CG6567 gene product from transcript CG6567-RB(CG6567)
Q9VGV8	FBgn0037843	Drosophila melanogaster	CG4511 gene product from transcript CG4511-RA(CG4511)
P35421	FBgn0000052	Drosophila melanogaster	adenosine 2(ade2)
Q9VH77	FBgn0037744	Drosophila melanogaster	CG8417 gene product from transcript CG8417-RA(CG8417)
Q9VH76	FBgn0266720	Drosophila melanogaster	Synaptosomal-associated protein 24kDa(Snap24)
A4V371	FBgn0000083	Drosophila melanogaster	Annexin B9(AnxB9)
Q8MV48	FBgn0030930	Drosophila melanogaster	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2(GalNAc-T2)
Q08012	FBgn0004638	Drosophila melanogaster	downstream of receptor kinase(drk)
Q95SS8	FBgn0035805	Drosophila melanogaster	CG7506 gene product from transcript CG7506-RA(CG7506)
Q9VTF9	FBgn0036136	Drosophila melanogaster	Ubiquitin fusion-degradation 1-like(Ufd1-like)
Q9VTF5	FBgn0036133	Drosophila melanogaster	CG7638 gene product from transcript CG7638-RA(CG7638)
Q9VLC5	FBgn0012036	Drosophila melanogaster	Aldehyde dehydrogenase(Aldh)
Q95ST2	FBgn0036141	Drosophila melanogaster	wntless(wls)
Q9VGW7	FBgn0037834	Drosophila melanogaster	Arginine methyltransferase 1(Art1)
A4V383	FBgn0019957	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) 42 kDa subunit(ND-42)
