"Checked"	"Protein FDR Confidence Combined"	"Master"	"Protein Group IDs"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Mascot A5 Mascot"	"Number of Peptides by Search Engine A5 Mascot"	"Number of Razor Peptides"	"Abundance F1 127N Sample 1 unmated"	"Abundance F1 128N Sample 2 unmated"	"Abundance F1 129N Sample 1 mated"	"Abundance F1 129C Sample 3 unmated"	"Abundance F1 130N Sample 2 mated"	"Abundance F1 130C Sample 3 mated"	"Found in Sample in S1 F1 127N Sample 1 unmated"	"Found in Sample in S2 F1 128N Sample 2 unmated"	"Found in Sample in S3 F1 129N Sample 1 mated"	"Found in Sample in S4 F1 129C Sample 3 unmated"	"Found in Sample in S5 F1 130N Sample 2 mated"	"Found in Sample in S6 F1 130C Sample 3 mated"	"Number of Protein Groups"
"False"	"High"	"IsMasterProtein"	"1962"	"FBgn0010352"	"FBgn0010352"	"0.000"	"122.585"	"37"	"35"	"53"	"35"	"1105"	"122.8"	"6.93"	"986"	"35"	"0"	"6993.8"	"6603.9"	"9086.0"	"5565.7"	"6895.4"	"6062.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1504"	"FBgn0032788"	"FBgn0032788"	"0.000"	"122.559"	"44"	"22"	"74"	"22"	"454"	"51.3"	"6.62"	"1423"	"22"	"0"	"12092.3"	"12711.8"	"13669.8"	"10453.9"	"11435.4"	"9267.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5166"	"FBgn0004378"	"FBgn0004378"	"0.000"	"122.204"	"39"	"35"	"42"	"35"	"1066"	"121.1"	"6.43"	"889"	"35"	"0"	"5836.8"	"5327.5"	"6588.7"	"4829.5"	"5530.7"	"4723.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5269"	"FBgn0029176"	"FBgn0029176"	"0.000"	"122.096"	"48"	"22"	"96"	"22"	"378"	"43.1"	"5.76"	"1634"	"22"	"0"	"15274.3"	"15026.5"	"20122.2"	"12039.6"	"16749.6"	"13509.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4609"	"FBgn0000047"	"FBgn0000047"	"0.000"	"121.923"	"52"	"16"	"180"	"1"	"376"	"41.7"	"5.48"	"3837"	"16"	"6"	"2154.9"	"2150.7"	"3580.0"	"1631.5"	"3051.9"	"2164.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4975"	"FBgn0004868"	"FBgn0004868"	"0.000"	"121.821"	"65"	"28"	"68"	"28"	"443"	"49.9"	"5.72"	"1356"	"28"	"0"	"12268.5"	"11489.8"	"15212.3"	"10343.8"	"11719.6"	"10155.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1525"	"FBgn0032026"	"FBgn0032026"	"0.000"	"121.791"	"32"	"37"	"44"	"35"	"1355"	"152.2"	"7.34"	"1108"	"37"	"2"	"5873.1"	"5090.8"	"6734.6"	"4651.4"	"5671.3"	"4406.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5318"	"FBgn0034728"	"FBgn0034728"	"0.000"	"121.624"	"29"	"38"	"47"	"38"	"1318"	"152.1"	"7.58"	"1017"	"38"	"0"	"6327.7"	"5943.7"	"8579.4"	"5856.2"	"6351.2"	"5372.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"995"	"FBgn0015756"	"FBgn0015756"	"0.000"	"121.574"	"66"	"12"	"108"	"12"	"190"	"21.4"	"9.69"	"2781"	"12"	"0"	"8527.7"	"8889.2"	"14621.8"	"8003.2"	"9873.2"	"9648.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4273"	"FBgn0002069"	"FBgn0002069"	"0.000"	"121.528"	"52"	"24"	"55"	"24"	"531"	"59.0"	"6.81"	"1529"	"24"	"0"	"6433.6"	"6155.1"	"8031.0"	"5456.8"	"6174.9"	"5512.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2296"	"FBgn0002526"	"FBgn0002526"	"0.000"	"121.304"	"14"	"44"	"49"	"44"	"3712"	"410.9"	"5.22"	"828"	"44"	"0"	"4944.9"	"4201.6"	"7548.9"	"4234.9"	"7102.6"	"6116.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"759"	"FBgn0039972"	"FBgn0039972"	"0.000"	"121.303"	"31"	"38"	"52"	"38"	"1305"	"147.6"	"8.27"	"1082"	"38"	"0"	"8640.0"	"7523.4"	"10411.9"	"6578.8"	"8117.5"	"7052.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1704"	"FBgn0003074"	"FBgn0003074"	"0.000"	"121.039"	"52"	"22"	"53"	"22"	"558"	"62.3"	"7.12"	"896"	"22"	"0"	"8721.3"	"8543.8"	"10985.1"	"7234.9"	"8853.3"	"7521.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4387"	"FBgn0000667"	"FBgn0000667"	"0.000"	"120.941"	"44"	"37"	"44"	"37"	"917"	"106.3"	"5.69"	"1266"	"37"	"0"	"7076.6"	"6742.1"	"8675.3"	"5866.6"	"7878.4"	"6444.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1290"	"FBgn0033886"	"FBgn0033886"	"0.000"	"120.791"	"61"	"19"	"56"	"19"	"424"	"45.5"	"5.96"	"1183"	"19"	"0"	"5217.2"	"5037.6"	"6336.9"	"4108.9"	"5465.4"	"4434.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1695"	"FBgn0053113"	"FBgn0053113"	"0.000"	"120.553"	"47"	"25"	"48"	"25"	"607"	"65.4"	"4.87"	"1045"	"25"	"0"	"8787.8"	"8305.7"	"12740.8"	"7459.6"	"10710.4"	"9236.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5177"	"FBgn0000358"	"FBgn0000358"	"0.000"	"120.302"	"63"	"9"	"134"	"9"	"173"	"18.5"	"9.36"	"4311"	"9"	"0"	"9330.6"	"10966.1"	"13374.8"	"8225.5"	"11157.7"	"8246.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2312"	"FBgn0016687"	"FBgn0016687"	"0.000"	"119.511"	"72"	"16"	"68"	"16"	"338"	"37.9"	"7.01"	"1139"	"16"	"0"	"7686.1"	"7357.3"	"9615.2"	"6139.6"	"8517.8"	"6945.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2934"	"FBgn0038145"	"FBgn0038145"	"0.000"	"119.262"	"54"	"23"	"47"	"23"	"403"	"45.2"	"6.48"	"1145"	"23"	"0"	"6727.6"	"6652.0"	"8966.7"	"5741.3"	"7765.0"	"6394.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4670"	"FBgn0021765"	"FBgn0021765"	"0.000"	"118.966"	"69"	"13"	"65"	"13"	"255"	"26.9"	"9.03"	"2002"	"13"	"0"	"6358.5"	"6076.2"	"8339.1"	"4852.8"	"6924.0"	"5581.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4668"	"FBgn0266580"	"FBgn0266580"	"0.000"	"118.900"	"24"	"38"	"45"	"38"	"1876"	"209.7"	"6.47"	"891"	"38"	"0"	"5678.6"	"4813.1"	"6691.3"	"4701.4"	"5079.8"	"3907.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2990"	"FBgn0038271"	"FBgn0038271"	"0.000"	"118.892"	"65"	"23"	"65"	"23"	"470"	"51.8"	"6.00"	"1792"	"23"	"0"	"8027.6"	"7885.8"	"11908.5"	"6372.7"	"9584.7"	"7811.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"514"	"FBgn0001226"	"FBgn0001226"	"0.000"	"118.729"	"62"	"13"	"87"	"13"	"213"	"23.6"	"7.44"	"1634"	"13"	"0"	"11895.2"	"12258.6"	"13675.8"	"10436.5"	"12287.9"	"10471.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"831"	"FBgn0002542"	"FBgn0002542"	"0.000"	"118.132"	"41"	"35"	"41"	"35"	"1061"	"118.3"	"6.65"	"1254"	"35"	"0"	"5374.6"	"5022.6"	"6251.9"	"4428.4"	"5088.6"	"4474.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4647"	"FBgn0026252"	"FBgn0026252"	"0.000"	"117.894"	"26"	"24"	"57"	"24"	"1049"	"119.2"	"4.86"	"1107"	"24"	"0"	"9273.8"	"8888.3"	"12026.6"	"7832.4"	"10164.4"	"8398.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4690"	"FBgn0262517"	"FBgn0262517"	"0.000"	"117.721"	"26"	"44"	"49"	"44"	"1747"	"198.5"	"5.94"	"768"	"44"	"0"	"5721.7"	"5205.1"	"6925.1"	"4784.1"	"5593.7"	"4640.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2194"	"FBgn0027088"	"FBgn0027088"	"0.000"	"117.314"	"44"	"29"	"53"	"29"	"765"	"85.1"	"7.74"	"1082"	"29"	"0"	"8964.5"	"8700.1"	"10794.5"	"7944.2"	"9503.5"	"7985.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"109"	"FBgn0008635"	"FBgn0008635"	"0.000"	"116.868"	"29"	"23"	"46"	"23"	"964"	"107.3"	"6.32"	"1048"	"23"	"0"	"6107.8"	"5801.2"	"7830.6"	"5056.1"	"6044.2"	"5239.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3268"	"FBgn0038469"	"FBgn0038469"	"0.000"	"116.450"	"48"	"25"	"58"	"25"	"649"	"73.8"	"8.00"	"1200"	"25"	"0"	"8445.1"	"9147.5"	"10692.2"	"6630.2"	"9105.1"	"7021.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"81"	"FBgn0029979"	"FBgn0029979"	"0.000"	"115.703"	"36"	"24"	"46"	"22"	"945"	"100.4"	"9.14"	"1383"	"24"	"0"	"5251.8"	"4687.7"	"5289.0"	"4036.7"	"4897.6"	"3985.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3032"	"FBgn0011604"	"FBgn0011604"	"0.000"	"115.688"	"36"	"37"	"45"	"37"	"1027"	"118.8"	"8.29"	"1062"	"37"	"0"	"5318.1"	"5034.2"	"8295.4"	"4568.3"	"6040.4"	"5218.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"328"	"FBgn0250843"	"FBgn0250843"	"0.000"	"115.663"	"72"	"19"	"63"	"19"	"279"	"31.0"	"6.55"	"1014"	"19"	"0"	"6982.4"	"6955.2"	"9151.9"	"5696.4"	"8127.6"	"6493.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2690"	"FBgn0022213"	"FBgn0022213"	"0.000"	"115.619"	"34"	"27"	"62"	"27"	"975"	"110.1"	"5.74"	"1346"	"27"	"0"	"14015.8"	"12877.6"	"16690.8"	"11577.8"	"14154.6"	"11740.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1157"	"FBgn0022343"	"FBgn0022343"	"0.000"	"115.381"	"84"	"22"	"55"	"22"	"271"	"29.6"	"5.53"	"1876"	"22"	"0"	"6334.5"	"6315.6"	"7636.3"	"5795.0"	"7264.7"	"6172.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"502"	"FBgn0003346"	"FBgn0003346"	"0.000"	"114.802"	"45"	"21"	"48"	"21"	"596"	"66.0"	"4.65"	"1223"	"21"	"0"	"6237.6"	"5675.6"	"7161.7"	"4979.9"	"6322.5"	"5114.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3104"	"FBgn0038344"	"FBgn0038344"	"0.000"	"114.684"	"19"	"36"	"39"	"36"	"2183"	"248.8"	"7.46"	"667"	"36"	"0"	"5122.9"	"4866.0"	"6319.5"	"4353.8"	"5203.4"	"4347.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3055"	"FBgn0027091"	"FBgn0027091"	"0.000"	"114.568"	"43"	"31"	"46"	"31"	"741"	"84.2"	"6.30"	"1076"	"31"	"0"	"7882.4"	"7349.0"	"8578.0"	"6373.6"	"7957.8"	"6576.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"277"	"FBgn0019886"	"FBgn0019886"	"0.000"	"114.408"	"41"	"35"	"45"	"35"	"1013"	"113.5"	"6.84"	"956"	"35"	"0"	"7130.9"	"7014.3"	"8754.4"	"5735.8"	"8091.5"	"6521.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2397"	"FBgn0002719"	"FBgn0002719"	"0.000"	"114.331"	"43"	"29"	"54"	"29"	"763"	"84.6"	"6.62"	"913"	"29"	"0"	"7987.9"	"7343.1"	"9533.6"	"6865.0"	"7658.7"	"6559.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3173"	"FBgn0051368"	"FBgn0051368"	"0.000"	"114.205"	"30"	"39"	"44"	"39"	"1486"	"172.2"	"6.10"	"723"	"39"	"0"	"6663.2"	"5972.1"	"7223.5"	"5576.4"	"5966.4"	"4990.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3134"	"FBgn0005585"	"FBgn0005585"	"0.000"	"114.103"	"65"	"26"	"64"	"26"	"406"	"46.8"	"4.58"	"1253"	"26"	"0"	"8399.4"	"7683.3"	"9624.8"	"5804.2"	"9246.4"	"7718.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4069"	"FBgn0020660"	"FBgn0020660"	"0.000"	"113.878"	"60"	"28"	"51"	"28"	"459"	"52.2"	"6.96"	"1199"	"28"	"0"	"6861.0"	"6429.9"	"7412.4"	"5806.6"	"7000.4"	"6111.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3955"	"FBgn0021761"	"FBgn0021761"	"0.000"	"113.826"	"24"	"30"	"45"	"30"	"1365"	"153.8"	"6.58"	"884"	"30"	"0"	"6264.3"	"5661.3"	"7734.3"	"5628.1"	"5647.2"	"5011.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3872"	"FBgn0000239"	"FBgn0000239"	"0.000"	"113.770"	"47"	"27"	"45"	"27"	"683"	"76.7"	"6.80"	"1140"	"27"	"0"	"5680.6"	"5295.8"	"6936.1"	"4746.5"	"5628.9"	"4785.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1626"	"FBgn0003392"	"FBgn0003392"	"0.000"	"113.439"	"41"	"34"	"45"	"34"	"896"	"99.8"	"8.57"	"941"	"34"	"0"	"6464.4"	"6004.3"	"7454.8"	"5493.5"	"6169.3"	"5250.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"554"	"FBgn0004066"	"FBgn0004066"	"0.000"	"113.188"	"54"	"13"	"60"	"13"	"249"	"28.0"	"8.12"	"1760"	"13"	"0"	"7765.3"	"7321.6"	"9522.2"	"6573.0"	"7353.6"	"6776.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2340"	"FBgn0000045"	"FBgn0000045"	"0.000"	"112.805"	"50"	"14"	"163"	"1"	"376"	"41.8"	"5.48"	"3367"	"14"	"0"	"79.9"	"73.9"	"120.8"	"70.4"	"82.8"	"72.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3203"	"FBgn0026181"	"FBgn0026181"	"0.000"	"112.717"	"28"	"41"	"46"	"41"	"1390"	"160.2"	"6.51"	"859"	"41"	"0"	"6902.9"	"6271.4"	"8463.6"	"5938.0"	"6866.6"	"6024.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2492"	"FBgn0014026"	"FBgn0014026"	"0.000"	"112.489"	"40"	"15"	"73"	"15"	"271"	"30.7"	"10.71"	"1333"	"15"	"0"	"13728.2"	"14199.6"	"18180.9"	"10625.8"	"15567.0"	"12629.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4636"	"FBgn0030672"	"FBgn0030672"	"0.000"	"112.447"	"41"	"27"	"61"	"27"	"611"	"69.5"	"7.53"	"1252"	"27"	"0"	"12387.6"	"11907.0"	"16046.9"	"9876.1"	"12742.3"	"10810.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3007"	"FBgn0004227"	"FBgn0004227"	"0.000"	"112.308"	"46"	"23"	"42"	"21"	"742"	"81.9"	"9.11"	"1404"	"23"	"2"	"4625.9"	"4608.2"	"5392.7"	"3948.6"	"4927.3"	"4134.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3172"	"FBgn0026479"	"FBgn0026479"	"0.000"	"112.206"	"44"	"34"	"52"	"34"	"735"	"82.5"	"6.98"	"1020"	"34"	"0"	"9763.0"	"9190.0"	"12489.9"	"8201.5"	"10393.3"	"8881.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3205"	"FBgn0011225"	"FBgn0011225"	"0.000"	"111.967"	"32"	"37"	"44"	"37"	"1268"	"144.8"	"8.68"	"846"	"37"	"0"	"5965.8"	"5523.3"	"7444.5"	"4988.4"	"6203.3"	"5097.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1776"	"FBgn0283442"	"FBgn0283442"	"0.000"	"111.734"	"54"	"34"	"48"	"33"	"661"	"72.3"	"5.66"	"1313"	"34"	"0"	"7808.2"	"6965.7"	"9748.9"	"6514.1"	"7542.2"	"6401.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"573"	"FBgn0002622"	"FBgn0002622"	"0.000"	"111.646"	"83"	"25"	"97"	"25"	"246"	"27.5"	"9.39"	"1982"	"25"	"0"	"15829.2"	"15718.5"	"25398.3"	"15793.9"	"16955.2"	"16839.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4559"	"FBgn0017566"	"FBgn0017566"	"0.000"	"111.543"	"51"	"29"	"55"	"29"	"731"	"78.6"	"6.84"	"1217"	"29"	"0"	"7588.5"	"7235.1"	"9759.2"	"6000.3"	"8302.6"	"6686.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2538"	"FBgn0037530"	"FBgn0037530"	"0.000"	"111.457"	"42"	"31"	"44"	"31"	"915"	"100.9"	"8.13"	"1111"	"31"	"0"	"7015.0"	"6590.9"	"10060.3"	"6177.1"	"7645.4"	"6624.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3747"	"FBgn0017577"	"FBgn0017577"	"0.000"	"111.318"	"43"	"30"	"44"	"30"	"733"	"82.2"	"7.84"	"950"	"30"	"0"	"6123.6"	"5700.1"	"7578.5"	"5043.2"	"6370.8"	"5200.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"722"	"FBgn0001098"	"FBgn0001098"	"0.000"	"111.233"	"44"	"23"	"50"	"23"	"562"	"62.5"	"8.27"	"1243"	"23"	"0"	"8048.7"	"7345.3"	"9726.9"	"6992.9"	"7299.6"	"6059.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2780"	"FBgn0003277"	"FBgn0003277"	"0.000"	"111.213"	"23"	"40"	"43"	"39"	"1887"	"209.0"	"7.81"	"923"	"40"	"1"	"6283.4"	"5800.1"	"7453.6"	"4814.3"	"6154.8"	"5209.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2746"	"FBgn0053129"	"FBgn0053129"	"0.000"	"111.177"	"38"	"24"	"45"	"24"	"677"	"75.6"	"9.44"	"805"	"24"	"0"	"7022.5"	"6892.4"	"10159.1"	"5570.3"	"8436.8"	"6770.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5323"	"FBgn0000055"	"FBgn0000055"	"0.000"	"111.083"	"63"	"11"	"70"	"11"	"256"	"27.7"	"7.43"	"1569"	"11"	"0"	"8584.8"	"8969.0"	"11347.1"	"7411.1"	"9691.8"	"7989.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3602"	"FBgn0015391"	"FBgn0015391"	"0.000"	"110.705"	"30"	"40"	"43"	"40"	"1409"	"159.8"	"6.15"	"862"	"40"	"0"	"5452.8"	"5106.7"	"6951.3"	"4372.7"	"5534.6"	"4773.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"485"	"FBgn0028336"	"FBgn0028336"	"0.000"	"110.679"	"65"	"25"	"51"	"24"	"495"	"53.5"	"8.44"	"1104"	"25"	"1"	"8613.5"	"8476.9"	"10344.6"	"7165.1"	"9437.2"	"7664.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4090"	"FBgn0005777"	"FBgn0005777"	"0.000"	"110.666"	"51"	"24"	"51"	"24"	"520"	"59.2"	"6.23"	"990"	"24"	"0"	"6622.2"	"6393.6"	"8047.6"	"5106.3"	"6761.0"	"5643.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4472"	"FBgn0039737"	"FBgn0039737"	"0.000"	"110.558"	"58"	"21"	"57"	"21"	"477"	"51.8"	"8.12"	"1087"	"21"	"0"	"7540.8"	"7418.4"	"9784.4"	"6005.8"	"8272.3"	"6830.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3265"	"FBgn0015834"	"FBgn0015834"	"0.000"	"110.554"	"62"	"15"	"50"	"15"	"326"	"36.1"	"5.34"	"1225"	"15"	"0"	"6145.3"	"5986.4"	"8460.5"	"4764.5"	"7096.5"	"5645.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"887"	"FBgn0035060"	"FBgn0035060"	"0.000"	"110.113"	"40"	"35"	"40"	"35"	"1253"	"134.3"	"5.21"	"855"	"35"	"0"	"5243.0"	"4425.0"	"5989.9"	"4165.6"	"4987.8"	"4278.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4005"	"FBgn0036450"	"FBgn0036450"	"0.000"	"109.995"	"45"	"33"	"44"	"33"	"836"	"91.7"	"9.58"	"1048"	"33"	"0"	"6657.6"	"6275.1"	"7418.6"	"5596.9"	"6508.1"	"5242.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1702"	"FBgn0052473"	"FBgn0052473"	"0.000"	"109.792"	"31"	"29"	"50"	"29"	"1025"	"116.3"	"5.60"	"1064"	"29"	"0"	"6789.8"	"6459.8"	"7963.9"	"5806.9"	"6535.6"	"5584.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1480"	"cRAP039"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"	"0.000"	"109.069"	"44"	"25"	"44"	"20"	"584"	"58.8"	"5.21"	"1428"	"25"	"7"	"6358.1"	"1763.1"	"8044.1"	"5781.6"	"9604.8"	"6612.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2013"	"FBgn0030344"	"FBgn0030344"	"0.000"	"108.949"	"30"	"36"	"44"	"36"	"1147"	"132.7"	"5.15"	"832"	"36"	"0"	"8957.8"	"8516.4"	"10373.2"	"7567.0"	"8737.4"	"7364.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1007"	"FBgn0020261"	"FBgn0020261"	"0.000"	"108.948"	"26"	"33"	"42"	"33"	"1613"	"184.5"	"7.03"	"838"	"33"	"0"	"6085.9"	"5584.3"	"7576.8"	"5142.1"	"6163.2"	"5191.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"139"	"FBgn0003360"	"FBgn0003360"	"0.000"	"108.921"	"72"	"26"	"92"	"26"	"312"	"34.2"	"9.80"	"1879"	"26"	"0"	"12595.4"	"12972.2"	"18143.1"	"12095.6"	"14075.9"	"12192.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1441"	"FBgn0010397"	"FBgn0010397"	"0.000"	"108.835"	"49"	"29"	"44"	"28"	"640"	"72.1"	"6.67"	"1370"	"29"	"0"	"3718.1"	"3583.6"	"5346.9"	"3928.2"	"4857.2"	"4174.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"218"	"FBgn0028687"	"FBgn0028687"	"0.000"	"108.758"	"65"	"26"	"71"	"25"	"433"	"48.5"	"6.04"	"1543"	"26"	"1"	"9916.3"	"9756.9"	"11764.8"	"8112.7"	"10309.7"	"8587.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2987"	"FBgn0013765"	"FBgn0013765"	"0.000"	"108.407"	"27"	"35"	"40"	"35"	"1378"	"155.7"	"5.72"	"1125"	"35"	"0"	"3920.4"	"3540.1"	"4897.1"	"3342.7"	"4048.2"	"3455.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5328"	"FBgn0037583"	"FBgn0037583"	"0.000"	"108.396"	"55"	"30"	"45"	"30"	"642"	"71.9"	"7.99"	"961"	"30"	"0"	"6380.6"	"6103.3"	"7815.0"	"5272.3"	"6065.3"	"5522.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
