# submitted_item	validated_id	current_symbol
dec1	FBgn0000427	dec-1
CG1116	FBgn0037297	CG1116
CG11164	FBgn0030507	CG11164
CG11178	FBgn0030499	CG11178
CG11180	FBgn0034528	CG11180
CG11188	FBgn0031851	Aatf
CG11190	FBgn0030035	PIG-T
CG11198	FBgn0033246	ACC
CG1120	FBgn0035462	IntS10
CG11200	FBgn0034500	CG11200
CG11208	FBgn0034488	Hacl
CG11210	FBgn0033259	Tmem63
CG1124	FBgn0037290	CG1124
CG11241	FBgn0037186	CG11241
CG11242	FBgn0034451	TBCB
CG11247	FBgn0037120	CG11247
CG11255	FBgn0036337	Adk2
CG11263	FBgn0036330	CG11263
CG11266	FBgn0031883	Caper
CG11267	FBgn0036334	CG11267
CG11268	FBgn0036336	ste14
CG11279	FBgn0036342	CG11279
CG11284	FBgn0030056	CAH3
CG1129	FBgn0037279	CG1129
CG11306	FBgn0037108	Alg11
CG11309	FBgn0037070	CG11309
CG11314	FBgn0039800	Npc2g
CG11315	FBgn0039801	Npc2h
CG11329	FBgn0031848	Nse1
CG11334	FBgn0039849	CG11334
CG11337	FBgn0039846	PNPase
CG11337	FBgn0039846	PNPase
CG1134	FBgn0035483	Mul1
CG1135	FBgn0263832	Rcd5
CG11376	FBgn0031216	Zir
CG11377	FBgn0031217	CG11377
CG11395	FBgn0034200	Gbp2
CG11396	FBgn0037022	CG11396
CG1140	FBgn0035298	SCOT
CG11412	FBgn0024362	Naa30A
CG11414	FBgn0035024	CG11414
CG11419	FBgn0034231	APC10
CG1142	FBgn0037504	CG1142
CG11444	FBgn0029715	CG11444
CG11447	FBgn0038737	CG11447
CG11474	FBgn0034688	CG11474
CG11486	FBgn0035397	PAN3
CG11490	FBgn0031233	Tbc1d15-17
CG11505	FBgn0035424	Larp4B
CG11526	FBgn0035437	Strip
CG11534	FBgn0046296	DEF8
CG11555	FBgn0086856	CG11555
CG11562	FBgn0031247	CG11562
CG11563	FBgn0039868	CG11563
CG11572	FBgn0051998	CG31998
CG11577	FBgn0036847	CNPYb
CG11583	FBgn0035524	CG11583
CG11586	FBgn0035520	CG11586
CG11597	FBgn0036212	CG11597
CG1161	FBgn0037313	CG1161
CG11652	FBgn0036194	Dph1
CG11655	FBgn0030638	CG11655
CG11660	FBgn0036187	RIOK1
CG11665	FBgn0033028	hrm
CG11674	FBgn0030551	CG11674
CG11679	FBgn0030678	CG11679
CG11710	FBgn0031115	CG11710
CG11722	FBgn0037777	CG11722
CG11727	FBgn0262740	Evi5
CG11737	FBgn0037592	CG11737
CG11739	FBgn0037239	Sfxn1-3
CG11750	FBgn0287454	Pa1
CG11752	FBgn0030292	CG11752
CG11753	FBgn0037603	CG11753
CG11771	FBgn0039252	CG11771
CG11777	FBgn0033527	CG11777
CG11779	FBgn0038683	CG11779
CG11781	FBgn0039259	EMC6
CG11784	FBgn0033381	GstE13
CG11788	FBgn0034495	CG11788
CG11790	FBgn0039265	CG11790
CG11811	FBgn0036099	CG11811
CG11814	FBgn0265988	mv
CG11825	FBgn0033519	CG11825
CG11837	FBgn0039627	CG11837
CG11839	FBgn0039271	CG11839
CG11844	FBgn0046214	vig2
CG11851	FBgn0039293	Alg9
CG11857	FBgn0039303	CG11857
CG11857	FBgn0039303	CG11857
CG11858	FBgn0039305	CG11858
CG11859	FBgn0039306	RIOK2
CG11874	FBgn0039634	alpha-Man-Ib
CG11875	FBgn0039301	Nup37
CG11876	FBgn0039635	Pdhb
CG11880	FBgn0039637	Ctl2
CG11882	FBgn0039642	CG11882
CG11883	FBgn0033538	CG11883
CG11885	FBgn0031253	CG11885
CG11897	FBgn0039644	rdog
CG11899	FBgn0014427	CG11899
CG11909	FBgn0261575	tobi
CG11920	FBgn0039274	CG11920
CG11926	FBgn0031640	Mon1
CG11943	FBgn0031078	Nup205
CG11963	FBgn0037643	ScsbetaA
CG11964	FBgn0037644	CG11964
CG11968	FBgn0037647	RagA-B
CG11975	FBgn0037648	CG11975
CG11980	FBgn0037652	CG11980
CG11982	FBgn0037653	Iru
CG11984	FBgn0037655	Kcmf1
CG11985	FBgn0040534	Sf3b5
CG11986	FBgn0037656	CG11986
CG11999	FBgn0037312	CG11999
CG12001	FBgn0037265	spartin
CG12004	FBgn0035236	CG12004
CG12006	FBgn0035464	PIG-B
CG12007	FBgn0037293	CG12007
CG12010	FBgn0035443	CG12010
CG12018	FBgn0027903	Pol31
CG12026	FBgn0262624	Tmhs
CG12030	FBgn0035147	Gale
CG12042	FBgn0033206	DCTN4-p62
CG12050	FBgn0284251	l(2)05287
CG12050	FBgn0284251	l(2)05287
CG12056	FBgn0030099	CG12056
CG12065	FBgn0030052	CG12065
CG12068	FBgn0262112	sro
CG12079	FBgn0266582	ND-30
CG12082	FBgn0035402	Usp5
CG12084	FBgn0043458	CG12084
CG12090	FBgn0053971	Ir62a
CG12090	FBgn0035227	Iml1
CG12091	FBgn0035228	CG12091
CG12093	FBgn0035372	CG12093
CG12096	FBgn0030457	CG12096
CG12106	FBgn0030100	CG12106
CG12121	FBgn0030109	CG12121
CG12123	FBgn0030039	CG12123
CG12124	FBgn0260789	mxc
CG12125	FBgn0030037	Miga
CG12128	FBgn0033473	CG12128
CG12129	FBgn0033475	CG12129
CG12130	FBgn0283510	Pal1
CG12134	FBgn0033471	CG12134
CG12140	FBgn0286783	Etf-QO
CG12159	FBgn0033232	CG12159
CG12162	FBgn0037329	POLDIP2
CG12163	FBgn0260462	CG12163
CG12163	FBgn0053293	CG33293
CG12168	FBgn0051550	CG31550
CG12170	FBgn0037356	CG12170
CG12171	FBgn0037354	CG12171
CG12173	FBgn0037305	CG12173
CG12177	FBgn0030510	CG12177
CG1218	FBgn0037377	CG1218
CG12203	FBgn0031021	ND-18
CG12213	FBgn0260742	CG12213
CG12237	FBgn0031048	CG12237
CG12252	FBgn0035026	Fcp1
CG12258	FBgn0261679	CG42726
CG12258	FBgn0261680	CG42727
CG12258	FBgn0051301	CG31301
CG12259	FBgn0039557	CG12259
CG12262	FBgn0035811	Mcad
CG12263	FBgn0034346	PIG-O
CG12264	FBgn0032393	Nfs1
CG12267	FBgn0038057	CG12267
CG1227	FBgn0037491	CG1227
CG12272	FBgn0036571	Strump
CG12279	FBgn0038080	CG12279
CG12288	FBgn0032620	CG12288
CG12301	FBgn0036514	CG12301
CG12304	FBgn0036515	AIMP2
CG12320	FBgn0038590	CG12320
CG12321	FBgn0038577	CG12321
CG12325	FBgn0033557	CG12325
CG1234	FBgn0037489	CG1234
CG1236	FBgn0037370	CG1236
CG12360	FBgn0283438	CG46280
CG12360	FBgn0283439	CG46281
CG12375	FBgn0031987	CG12375
CG12384	FBgn0033624	CG12384
CG1239	FBgn0037368	CG1239
CG12391	FBgn0033581	CG12391
CG12393	FBgn0031768	IPIP
CG12398	FBgn0030596	CG12398
CG1240	FBgn0035370	Non2
CG12400	FBgn0031505	ND-B14.5B
CG12404	FBgn0032465	Yip1d1
CG12413	FBgn0039588	mIF2
CG12428	FBgn0039543	CROT
CG1244	FBgn0035357	MEP-1
CG12460	FBgn0040045	CR12460
CG12499	FBgn0038968	CG12499
CG12512	FBgn0031703	CG12512
CG12534	FBgn0031068	Alr
CG12542	FBgn0052732	Setd3
CG12547	FBgn0250830	CG12547
CG12560	FBgn0031974	CG12560
CG12562	FBgn0043783	CG32444
CG12562	FBgn0052445	CG32445
CG12562	FBgn0052446	Atox1
CG12567	FBgn0039958	CG12567
CG12576	FBgn0031190	CG12576
CG12582	FBgn0037215	beta-Man
CG12608	FBgn0030630	CG12608
CG1265	FBgn0035517	CG1265
CG12702	FBgn0031070	CG12702
CG12703	FBgn0031069	Pmp70
CG12736	FBgn0033184	mEFTu2
CG12753	FBgn0038427	ema
CG12765	FBgn0033813	fsd
CG12785	FBgn0261286	Mat89Ba
CG12811	FBgn0037779	CG12811
CG12848	FBgn0040666	CG12848
CG12859	FBgn0033961	ND-B15
CG12883	FBgn0039538	CG12883
CG12909	FBgn0033507	CG12909
CG1291	FBgn0035401	Alg2
CG12918	FBgn0263260	sel
CG12928	FBgn0261016	clos
CG12935	FBgn0033547	CG12935
CG12942	FBgn0033569	CG12942
CG12945	FBgn0037755	CG12945
CG12975	FBgn0037061	CG12975
CG1298	FBgn0033032	kune
CG13005	FBgn0030794	CG13005
CG13018	FBgn0040751	CG13018
CG1307	FBgn0026566	CG1307
CG13089	FBgn0032052	PIG-U
CG1309	FBgn0035519	CG1309
CG13090	FBgn0032054	Uba4
CG13096	FBgn0032050	CG13096
CG13097	FBgn0032051	CG13097
CG1311	FBgn0035523	Ctl1
CG13113	FBgn0032126	CG13113
CG13117	FBgn0032140	CG13117
CG13126	FBgn0032168	CG13126
CG13142	FBgn0032251	Nse4
CG1316	FBgn0035526	CG1316
CG13163	FBgn0033712	mIF3
CG13175	FBgn0033693	CG13175
CG13185	FBgn0033661	CG13185
CG13189	FBgn0033665	Zip48C
CG1319	FBgn0035529	Fdx2
CG13192	FBgn0033653	CG13192
CG13220	FBgn0033608	CG13220
CG13252	FBgn0037016	CG13252
CG1326	FBgn0052250	PMP34
CG1326	FBgn0052251	Claspin
CG13277	FBgn0261068	LSm7
CG13298	FBgn0035692	Sf3b6
CG13299	FBgn0035694	CG13299
CG13319	FBgn0033781	CG13319
CG13323	FBgn0033788	CG13323
CG13343	FBgn0263697	Uba3
CG13344	FBgn0033884	CG13344
CG13349	FBgn0033886	Rpn13
CG13349	FBgn0033886	Rpn13
CG13349	FBgn0033886	Rpn13
CG13349	FBgn0033886	Rpn13
CG13350	FBgn0033890	Ctf4
CG13364	FBgn0026879	CG13364
CG13365	FBgn0029529	CG13365
CG13366	FBgn0025633	CG13366
CG13373	FBgn0029522	CG13373
CG13390	FBgn0032031	CG13390
CG13392	FBgn0032033	CG13392
CG13393	FBgn0263852	Dad1
CG1344	FBgn0027507	CG1344
CG1347	FBgn0037363	Atg17
CG13472	FBgn0036450	Tdrd3
CG13484-RA	FBtr0075780	CG13484-RA
CG13531	FBgn0034786	CG13531
CG1354	FBgn0030151	CG1354
CG13551	FBgn0040660	CG13551
CG13567	FBgn0034963	Not11
CG1358	FBgn0033196	CG1358
CG1359	FBgn0260860	Bet5
CG13599	FBgn0039128	CG13599
CG13601	FBgn0039126	CG13601
CG13603	FBgn0039135	CG13603
CG13623	FBgn0039205	CG13623
CG13624	FBgn0039209	REPTOR
CG13630	FBgn0039219	CG13630
CG13638	FBgn0051357	CG31357
CG13638	FBgn0051118	RabX4
CG13641	FBgn0039239	CG13641
CG13644	FBgn0265190	PIG-S
CG13663	FBgn0039291	CG13663
CG13690	FBgn0031252	CG13690
CG1371	FBgn0033482	CG1371
CG13745	FBgn0033354	FANCI
CG13773	FBgn0042092	CG13773
CG1381	FBgn0033485	RpLP0-like
CG13822	FBgn0039098	GILT3
CG13850	FBgn0038961	CG13850
CG13865	FBgn0039965	Coa7
CG13879	FBgn0035120	wac
CG13887	FBgn0035165	CG13887
CG13890	FBgn0035169	Dci
CG13893	FBgn0035146	CG13893
CG13897	FBgn0035160	hng3
CG13900	FBgn0035162	Sf3b3
CG13901	FBgn0035164	CG13901
CG13903	FBgn0052479	Usp10
CG13907	FBgn0035173	CG13907
CG13914	FBgn0035209	msd1
CG13917	FBgn0035237	CG13917
CG13926	FBgn0035243	CG13926
CG13957	FBgn0030739	SWIP
CG1399	FBgn0033212	LRR
CG13992	FBgn0031756	CG13992
CG13993	FBgn0031776	Pfdn1
CG13994	FBgn0031772	CG13994
CG14036	FBgn0031677	CG14036
CG14043	FBgn0031659	CG14043
CG14065	FBgn0261618	larp
CG1407	FBgn0033474	CG1407
CG14084	FBgn0260857	Bet1
CG14095	FBgn0036870	CG14095
CG14100	FBgn0036889	CG14100
CG14103	FBgn0036908	TORIP
CG14103	FBgn0083952	CG34116
CG14130	FBgn0036210	CG14130
CG14145	FBgn0036118	Blos2
CG1416	FBgn0032961	CG1416
CG14184	FBgn0036932	CG14184
CG14187	FBgn0036938	CG14187
CG14199	FBgn0040890	ksh
CG14207	FBgn0031037	CG14207
CG14210	FBgn0031040	CG14210
CG14213	FBgn0031047	Rcd-1
CG14215	FBgn0031052	Elys
CG14216	FBgn0031054	Ssu72
CG14222	FBgn0031043	Naa20A
CG14230	FBgn0031062	CG14230
CG14232	FBgn0031061	CG14232
CG14235-RB	FBtr0074817	COX6B-RB
CG14286	FBgn0038673	CG14286
CG14290	FBgn0038662	Mpc1
CG14299	FBgn0038651	Epg5
CG1434	FBgn0030554	CG1434
CG14353-RA	FBtr0075144	Wdr92-RA
CG1440	FBgn0030038	CG1440
CG14407	FBgn0030584	CG14407
CG14411	FBgn0030582	CG14411
CG14434	FBgn0029915	CG14434
CG14438	FBgn0287582	sov
CG1444	FBgn0029975	spidey
CG14441	FBgn0029895	CG14441
CG14446	FBgn0262730	dtn
CG14450	FBgn0037184	CG14450
CG14480	FBgn0034242	CG14480
CG14482	FBgn0034245	UQCR-6.4
CG14483	FBgn0034248	CG14483
CG14512	FBgn0039639	Alg13
CG14516	FBgn0039640	CG14516
CG14542	FBgn0039402	Vps2
CG14543	FBgn0039404	CG14543
CG14544	FBgn0039407	CG14544
CG1458	FBgn0062442	Cisd2
CG14613	FBgn0031188	CG14613
CG14617	FBgn0031191	Cp110
CG14618	FBgn0031189	CG14618
CG14641	FBgn0037220	CG14641
CG14647	FBgn0037244	CG14647
CG14650	FBgn0037252	CG14650
CG14651	FBgn0037254	CG14651
CG14656	FBgn0260794	ctrip
CG14662	FBgn0037291	CG14662
CG14671	FBgn0037340	CG14671
CG14688	FBgn0037819	CG14688
CG14712	FBgn0037924	CG14712
CG14715	FBgn0037930	CG14715
CG14721	FBgn0037942	CG14721
CG14722	FBgn0037943	CG14722
CG14767	FBgn0040777	CG14767
CG14782-RA	FBtr0070259	rush-RA
CG14804	FBgn0014411	Vps26
CG14816	FBgn0023517	Pgam5
CG1486	FBgn0031174	CG1486
CG14882	FBgn0038429	CG14882
CG14894	FBgn0038428	CG14894
CG14898	FBgn0038437	Sdhaf3
CG14899	FBgn0038438	Der-2
CG14903	FBgn0038446	CG14903
CG14931	FBgn0032374	CG14931
CG14933	FBgn0040968	CG14933
CG14935	FBgn0032382	Mal-B2
CG14937	FBgn0032377	CG14937
CG14961	FBgn0035439	CG14961
CG14966	FBgn0035415	CG14966
CG14969	FBgn0035440	CG14969
CG14977	FBgn0035469	CG14977
CG14980	FBgn0035470	Ccz1
CG14985	FBgn0035482	CG14985
CG14997	FBgn0035515	CG14997
CG14998	FBgn0264693	ens
CG15012	FBgn0035528	CG15012
CG15014	FBgn0035532	CG15014
CG15019	FBgn0035541	CG15019
CG15027	FBgn0030611	CG15027
CG15047	FBgn0030938	CG15047
CG15067	FBgn0034331	BomBc2
CG15093	FBgn0034390	CG15093
CG15098	FBgn0034398	CG15098
CG15099	FBgn0034400	CG15099
CG15100	FBgn0034401	MetRS
CG15107	FBgn0041702	CG15107
CG15118	FBgn0034418	CG15118
CG1513	FBgn0033463	CG1513
CG15141	FBgn0032635	CG15141
CG1516	FBgn0027580	PCB
CG15164	FBgn0086909	CG31751
CG15168	FBgn0032732	EMC5
CG1518	FBgn0031149	Stt3A
CG15187	FBgn0261641	CG42724
CG15187	FBgn0261641	CG42724
CG15220	FBgn0266421	RPA3
CG15237	FBgn0033104	CG15237
CG15270	FBgn0028879	CG15270
CG15293	FBgn0028526	CG15293
CG1530	FBgn0260970	Ubr3
CG1531	FBgn0260970	Ubr3
CG1532	FBgn0031143	CG1532
CG15343	FBgn0030029	CG15343
CG15356	FBgn0031377	CG15356
CG15369	FBgn0030105	CG15369
CG15386	FBgn0040715	CG15386
CG15387	FBgn0031403	CG15387
CG15390	FBgn0031419	CG15390
CG1542	FBgn0039828	CG1542
CG15439	FBgn0031606	CG15439
CG15440	FBgn0031607	Secp43
CG15443	FBgn0031609	CG15443
CG15445	FBgn0031161	CG15445
CG1550	FBgn0033225	TTLL12
CG15561	FBgn0039829	CG15561
CG15570	FBgn0029697	CG15570
CG15618	FBgn0031077	THADA
CG15653	FBgn0034578	CG15653
CG15715	FBgn0036538	CG15715
CG15717	FBgn0030451	CG15717
CG1572	FBgn0030309	CG1572
CG15721	FBgn0030438	CG15721
CG15727	FBgn0030410	Aven
CG15735	FBgn0030364	Lsm12a
CG15737	FBgn0260780	wisp
CG15738	FBgn0030352	sicily
CG15743	FBgn0030465	CG15743
CG15747	FBgn0030474	CG15747
CG1575	FBgn0029999	CG1575
CG1578	FBgn0030336	CG1578
CG1582	FBgn0030246	CG1582
CG15820	FBgn0035312	CG15820
CG15828	FBgn0032136	Apoltp
CG15877	FBgn0035337	CG15877
CG15881	FBgn0036909	Ccdc58
CG15890	FBgn0030576	CG15890
CG15896	FBgn0029858	mldr
CG15908	FBgn0033085	CG15908
CG15916	FBgn0030704	CG15916
CG15926	FBgn0259143	CG42258
CG1597	FBgn0030289	GCS1
CG1598-RA	FBtr0088955	CG1598-RA
CG1599	FBgn0266186	Vamp7
CG1603	FBgn0033185	CG1603
CG1620	FBgn0033183	CG1620
CG1622	FBgn0030468	CG1622
CG1623	FBgn0033448	hebe
CG1635	FBgn0039854	CG1635
CG1637	FBgn0030245	CG1637
CG1640	FBgn0030478	CG1640
CG1646	FBgn0039600	CG1646
CG1648	FBgn0033446	CG1648
CG1657	FBgn0030286	Gapvd1
CG1665	FBgn0033451	Marc
CG16700	FBgn0030816	CG16700
CG16704	FBgn0031558	CG16704
CG1671	FBgn0033454	CG1671
CG16712	FBgn0031561	IM33
CG16713	FBgn0031560	CG16713
CG16717	FBgn0036028	CG16717
CG16721	FBgn0029820	CG16721
CG1673	FBgn0030482	CG1673
CG16734	FBgn0037667	CG16734
CG16742	FBgn0034529	FAM21
CG1675	FBgn0033457	Ntmt
CG1677	FBgn0029941	CG1677
CG16787	FBgn0034940	CG16787
CG16790	FBgn0037713	CG16790
CG16804	FBgn0061359	CG33671
CG16804	FBgn0061360	CG33672
CG1681	FBgn0030484	GstT4
CG16812	FBgn0032488	CG16812
CG16817	FBgn0037728	p23
CG16838	FBgn0036574	elg1
CG16865	FBgn0028919	CG16865
CG16892	FBgn0030122	Aladin
CG16908	FBgn0037741	CG16908
CG16912	FBgn0035064	TyrRS-m
CG16935	FBgn0033883	CG16935
CG16936	FBgn0027590	GstE12
CG16940-RC	FBtr0072486	Dis3l2-RC
CG16941	FBgn0266917	Sf3a1
CG16953	FBgn0038809	CG16953
CG16972	FBgn0032481	CG16972
CG16974	FBgn0032479	CG16974
CG16985	FBgn0035355	CG16985
CG16986	FBgn0035356	CG16986
CG17018	FBgn0039972	Marf1
CG1702	FBgn0031117	GstT3
CG1703	FBgn0030321	CG1703
CG17032	FBgn0036547	CG17032
CG17033	FBgn0283649	elgi
CG1704	FBgn0064117	SLIRP1
CG1704	FBgn0064116	anox
CG17065	FBgn0031099	CG17065
CG17068	FBgn0031098	CG17068
CG1707	FBgn0283450	Glo1
CG17078	FBgn0086855	CG17078
CG17081	FBgn0036480	Cep135
CG17082	FBgn0039994	conu
CG17121	FBgn0039043	CG17121
CG17127	FBgn0032299	CG17127
CG17168	FBgn0039943	CG17168
CG17169	FBgn0040514	CG17169
CG17184	FBgn0037884	Arfip
CG17187	FBgn0037882	CG17187
CG17202	FBgn0038043	CG17202
CG17209	FBgn0030687	RpIIIC160
CG17219	FBgn0031494	CG17219
CG17221	FBgn0031500	CG17221
CG17230	FBgn0046225	CG17230
CG17233	FBgn0036958	CG17233
CG17249	FBgn0035249	CG17249
CG17255	FBgn0261710	nocte
CG17259	FBgn0031497	SerRS
CG1726	FBgn0052521	CG32521
CG17260	FBgn0031498	CG17260
CG17266	FBgn0033089	CG17266
CG17271	FBgn0038829	CG17271
CG17271	FBgn0038829	CG17271
CG17273	FBgn0027493	AdSS
CG17282	FBgn0038857	Bdbt
CG17287	FBgn0034202	CG17287
CG17293	FBgn0032030	Wdr82
CG17295	FBgn0032034	Rcd4
CG17323	FBgn0032713	Ugt36D1
CG17331	FBgn0032596	Prosbeta4
CG17333	FBgn0030239	CG17333
CG17337	FBgn0259979	Cndp2
CG17338	FBgn0051792	CG31792
CG17338	FBgn0051793	CG31793
CG1737	FBgn0030293	CG1737
CG17454	FBgn0039977	CG17454
CG1746	FBgn0039830	ATPsynC
CG17471	FBgn0039924	PIP4K
CG17486	FBgn0032997	CG17486
CG1749	FBgn0030305	Uba5
CG17490	FBgn0040009	CG17490
CG17493	FBgn0040010	CG17493
CG17494-RB	unknown ID	-
CG17508	FBgn0039970	CG17508
CG17510	FBgn0039969	Fis1
CG17514	FBgn0287182	l(3)80Fj
CG17528	FBgn0261387	CG17528
CG1753	FBgn0031148	Cbs
CG17544	FBgn0032775	CG17544
CG17549	FBgn0032774	CG17549
CG17556	FBgn0038462	EMC2A
CG17565	FBgn0038424	CG17565
CG17593	FBgn0031544	CG17593
CG17597	FBgn0032715	CG17597
CG17598	FBgn0031194	CG17598
CG17652	FBgn0031361	CG17652
CG17660	FBgn0031356	CG17660
CG17665	FBgn0262117	IntS3
CG17683	FBgn0262115	CG17683
CG17691	FBgn0039993	CG17691
CG17698	FBgn0040056	CG17698
CG17711	FBgn0031360	CG31937
CG17726	FBgn0037880	CG17726
CG17734	FBgn0037890	CG17734
CG17735	FBgn0260794	ctrip
CG17737	FBgn0035423	eIF1
CG1774	FBgn0039856	CG1774
CG17746	FBgn0035425	CG17746
CG17754	FBgn0030114	CG17754
CG17765	FBgn0033529	CG17765
CG17768	FBgn0032240	CG17768
CG17776	FBgn0040899	CG17776
CG17807	FBgn0034748	CG17807
CG17838	FBgn0038826	Syp
CG1785	FBgn0030061	CG1785
CG17883	FBgn0040005	CG17883
CG1789	FBgn0030063	CG1789
CG17896	FBgn0023537	CG17896
CG17904	FBgn0032597	CG17904
CG17912	FBgn0032600	BuGZ
CG17931	FBgn0038421	CG17931
CG17982-RA	FBtr0071191	CG17982-RA
CG17985	FBgn0033199	CG17985
CG17994	FBgn0033072	CG17994
CG17996	FBgn0032595	CG17996
CG18005	FBgn0037660	beag
CG18012	FBgn0038552	Alg1
CG18067	FBgn0034512	Bbd
CG18081	FBgn0036537	CG18081
CG18088	FBgn0032082	CG18088
CG18094	FBgn0032791	CG18094
CG18135	FBgn0036837	CG18135
CG1814	FBgn0033426	CG1814
CG18143	FBgn0261436	DhpD
CG18162	FBgn0260750	Mulk
CG18178	FBgn0036035	CG18178
CG18186	FBgn0034255	Oxp
CG18190	FBgn0034403	CG18190
CG18213	FBgn0038470	CG18213
CG1824	FBgn0030403	CG1824
CG1826	FBgn0030228	BTBD9
CG1827	FBgn0033431	CG1827
CG18278	FBgn0033836	CG18278
CG1832-RB	FBtr0100407	Clamp-RB
CG18343	FBgn0033683	CG18343
CG18347	FBgn0260743	GC1
CG1837	FBgn0030329	prtp
CG18508	FBgn0028746	CG18508
CG18522	FBgn0267408	AOX1
CG18528	FBgn0039189	CG18528
CG18547	FBgn0037973	CG18547
CG18586	FBgn0035642	CG18586
CG18591	FBgn0261790	SmE
CG18596	FBgn0038953	CG18596
CG18600	FBgn0038601	CG18600
CG18624-RB	FBtr0071141	ND-MNLL-RB
CG18661	FBgn0040964	CG18661
CG1868	FBgn0033427	Smyd4-1
CG18749	FBgn0042182	CG18749
CG18789	FBgn0042127	CG18789
CG18811	FBgn0042134	Capr
CG18812	FBgn0042135	Gdap2
CG18815	FBgn0042138	CG18815
CG1882	FBgn0033226	puml
CG1885	FBgn0030066	Uros1
CG18858	FBgn0042175	CG18858
CG18861	FBgn0042178	Apl
CG1890	FBgn0039869	CG1890
CG1902	FBgn0033434	CG1902
CG1905	FBgn0266019	rudhira
CG1907	FBgn0039674	CG1907
CG1939	FBgn0037469	Dpck
CG1943	FBgn0037468	CG1943
CG1950	FBgn0030370	Uch-L5R
CG1951	FBgn0039623	CG1951
CG1957	FBgn0027873	Cpsf100
CG1962	FBgn0032876	Cen
CG1968	FBgn0033401	Cog6
CG1969	FBgn0039690	Gnpnat
CG1970-RA	FBtr0089105	ND-49-RA
CG1972	FBgn0039691	IntS11
CG1973-RA	FBtr0085477	yata-RA
CG1983	FBgn0039751	CG1983
CG2003	FBgn0039886	CG2003
CG2004	FBgn0030060	CG2004
CG2006	FBgn0039664	CG2006
CG2014	FBgn0039669	ND-20L
CG2021	FBgn0035271	CG2021
CG2023	FBgn0037383	Sec20
CG2025	FBgn0030344	Nrd1
CG2046	FBgn0037378	PSMG1
CG2051	FBgn0037376	Hat1
CG2059	FBgn0029942	CG2059
CG2061	FBgn0027498	CG2061
CG2063	FBgn0033400	CG2063
CG2076	FBgn0030263	CG2076
CG2091	FBgn0037372	CG2091
CG2093	FBgn0033194	Vps13
CG2097	FBgn0037371	Sym
CG2100	FBgn0037369	CG2100
CG2107	FBgn0035383	CPT2
CG2118	FBgn0039877	Mccc1
CG2124	FBgn0030217	CG2124
CG2137	FBgn0033190	Gpo2
CG2147	FBgn0030025	CG2147
CG2158	FBgn0033264	Nup50
CG2162	FBgn0035388	CG2162
CG2177	FBgn0039902	Zip102B
CG2182	FBgn0037360	CG2182
CG2183	FBgn0033273	Gasz
CG2185	FBgn0037358	elm
CG2186	FBgn0030243	CG2186
CG2199	FBgn0035213	CG2199
CG2200	FBgn0030447	CG2200
CG2201	FBgn0032955	CG2201
CG2213	FBgn0035210	msd5
CG2219	FBgn0039889	Arl4
CG2224	FBgn0039773	CG2224
CG2233	FBgn0029990	CG2233
CG2246	FBgn0039790	CG2246
CG2247	FBgn0030320	CG2247
CG2260	FBgn0030000	CG2260
CG2263	FBgn0030007	alpha-PheRS
CG2264	FBgn0262169	magu
CG2277	FBgn0035204	CG2277
CG2310	FBgn0039665	CG2310
CG2316	FBgn0039890	ABCD
CG2446	FBgn0030328	Amun
CG2469	FBgn0035205	Ctr9
CG2478	FBgn0261787	brun
CG2493	FBgn0032864	CG2493
CG2540	FBgn0030411	CG2540
CG2543	FBgn0030407	Fpgs
CG2556	FBgn0030396	CG2556
Cg25C	FBgn0000299	Col4a1
CG2604	FBgn0037298	Sccpdh1
CG2608	FBgn0032870	CG2608
CG2611	FBgn0032871	CG2611
CG2614	FBgn0032873	CG2614
CG2656	FBgn0037478	CG2656
CG2691	FBgn0030504	CG2691
CG2747	FBgn0037541	CG2747
CG2765	FBgn0035087	CG2765
CG2767	FBgn0037537	CG2767
CG2774	FBgn0031534	Snx1
CG2781	FBgn0037534	ELOVL
CG2789	FBgn0031263	Tspo
CG2791	FBgn0037533	CD98hc
CG2794	FBgn0031265	CG2794
CG2807	FBgn0031266	Sf3b1
CG2807	FBgn0036314	Sf3a2
CG2812	FBgn0034931	CG2812
CG2813	FBgn0031268	cold
CG2818	FBgn0031566	CG2818
CG2852	FBgn0034753	CG2852
CG2862	FBgn0031459	HINT1
CG2875	FBgn0029672	CG2875
CG2907	FBgn0051548	CG31548
CG2907	FBgn0051546	CG31546
CG2911	FBgn0037350	Dph4
CG2915	FBgn0033241	CG2915
CG2921	FBgn0034689	CG2921
CG2931	FBgn0037342	CG2931
CG2941	FBgn0029686	Glos
CG2943	FBgn0037530	EMC1
CG2947	FBgn0029676	HIP-R
CG2970	FBgn0034936	Stoml2
CG2971	FBgn0052685	ZAP3
CG2972	FBgn0030177	CG2972
CG2974	FBgn0030178	Naxe
CG2976	FBgn0031633	Fnta
CG2982	FBgn0266570	NO66
CG2990	FBgn0030170	CG2990
CG30000	FBgn0050000	GstT1
CG30001-RA	FBtr0088492	CG30001-RA
CG30007	FBgn0285892	tea
CG30010	FBgn0050010	CG30010
CG30022	FBgn0050022	CG30022
CG30035	FBgn0050035	Tret1-1
CG3004	FBgn0264691	Lst8
CG30069	FBgn0050069	CG30069
CG30085	FBgn0050085	Rif1
CG30094	FBgn0050094	CG30094
CG30105	FBgn0050105	CG30105
